Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,Sentiment,List Price,Market Price,Difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Issue Watchers Hope Twitter Heeds Facebook's Lesson Excitement For Next Big IPO Stock market success by microblog could unleash slew of Internet offerings,Investor's Business Daily,9/6/2013,1183,"The market is ready for the next major Internet IPO: Twitter. And observers are hoping the microblog has learned a few lessons from difficult IPOs of the two biggest Internet IPOs, Facebook 's (FB) last year and Google's (GOOG) in 2004.",Twitter,Technology,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FoxBusiness.com breaks a big Twitter IPO story -- 'Or Maybe Not' ; When 'several people surveyed on Twitter' are sources ...,The Washington Post,9/6/2013,192,"This story on FoxBusiness.com is almost unabridgably idiotic. To the extent that it has a point, this is it: FOX Business's Katie Roof asked Twitter spokeswoman Carolyn Penner in an email if anyone at the company can ""chat with me about IPO ...",Twitter,Technology,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter moves closer to IPO by buying mobile ad start-up MoPub,Los Angeles Times,9/9/2013,357,"SAN FRANCISCO -- Ahead of the most anticipated initial public stock offering since Facebook, Twitter bought mobile advertising exchange MoPub, its largest acquisition to date.",Twitter,Technology,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Zuckerberg Has Some Advice for Twitter's IPO: Don't Be Afraid.,All Things Digital,9/11/2013,387,(This story has been posted on The Wall Street Journal Digital Network's AllThingsD site at http://allthingsd.com/ ) By Mike Isaac Going public ain't easy. And no tech company CEO of late knows that better than Mark Zuckerberg.,Twitter,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Zuckerberg Has Some Advice for Twitter's IPO: Don't Be Afraid.,All Things Digital,9/11/2013,397,(This story has been posted on The Wall Street Journal Digital Network's AllThingsD site at http://allthingsd.com/) By Mike Isaac Going public ain't easy. And no tech company CEO of late knows that better than Mark Zuckerberg.,Twitter,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Reveals IPO Plans,Adweek,9/12/2013,114,Twitter  revealed late Thursday afternoon that its much-anticipated initial public offering has been set in motion. The San Francisco-based tech giant announced the move withÉ??what else?É??a tweet.,Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Things D:Twitter Files For IPO All Things D:Twitter Files For IPO All Things D:Twitter Files For IPO,All Things Digital,9/12/2013,103,(This story has been posted on The Wall Street Journal Digital Network's AllThingsD site at http://allthingsd.com/ ) By Mike Isaac The long-awaited day has come.,Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Things D:Twitter Files For IPO All Things D:Twitter Files For IPO All Things D:Twitter Files For IPO All Things D:Twitter Files For IPO All Things D:Twitter Files for IPO,All Things Digital,9/12/2013,274,(This story has been posted on The Wall Street Journal Digital Network's AllThingsD site at http://allthingsd.com/ ) By Mike Isaac The long-awaited day has come.,Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Files For IPO ,All Things Digital,9/12/2013,113,(This story has been posted on The Wall Street Journal Digital Network's AllThingsD site at http://allthingsd.com/) By Mike Isaac The long-awaited day has come.,Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Files For IPO,All Things Digital,9/12/2013,138,(This story has been posted on The Wall Street Journal Digital Network's AllThingsD site at http://allthingsd.com/) By Mike Isaac The long-awaited day has come.,Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter IPO: The Baltimore connection,Baltimore Business Journal Online,9/12/2013,155,Twitter's plans for a public stock offering has a Baltimore connection. T. Rowe Price Group Inc. was  one of the early investors  in the popular social media site in 2009.,Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barron's Blog:Twitter Files IPO Prospectus, Don't Ask",Barron's,9/12/2013,196,(This story has been posted on Barron's Online's Tech Trader Daily blog at http://blogs.barrons.com/techtraderdaily/) By Tiernan Ray Social networking star Twitter a short while ago said it filed for an IPO with the Securities and Exchange ...,Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The road to Twitter's IPO,Contra Costa Times,9/12/2013,186,"Twitter co-founder Jack Dorsey, working at a podcasting startup called Odeo, develops Twitter as an in-house messaging service. On March 21 Dorsey publishes the first tweet ever: ""just setting up my ...",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter IPO: Venture Capital investors in line for big score,Contra Costa Times,9/12/2013,241,"Although it stands to raise hundreds of millions of dollars from its IPO, Twitter hasn't been hurting for cash, thanks to venture capital backers who could clean up themselves in the company's stock offering.",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter files for IPO,Contra Costa Times,9/12/2013,584,SAN FRANCISCO -- The most anticipated Silicon Valley initial public offering since Facebook is in the pipeline: San Francisco-based Twitter announced Thursday that it has privately filed for its first public sale of shares.,Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Social media reaction: Twitter IPO captivates Silicon Valley, markets",Contra Costa Times,9/12/2013,78,"The microblogging startup turned media behemoth filed notice Thursday with a confidential S-1 notice, an indication it has less than $1 billion in annual sales, and social media users shared their opinions accordingly.",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Files For IPO,Dow Jones News Service,9/12/2013,69,The long-awaited day has come.,Twitter,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Message on Twitter Inc.'s Twitter Account Says Company Has Filed IPO Paperwork Twitter Submits Confidential S-1 for IPO,Dow Jones News Service,9/12/2013,171,Twitter Inc. says it has confidentially submitted an S-1 form to the Securities and Exchange Commission to begin the process for an initial public offering.,Twitter,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs Lead Underwriter on Twitter's Planned IPO -Sources Goldman Sachs Lead Underwriter on Twitter's Planned IPO -- Sources,Dow Jones News Service,9/12/2013,151,"Goldman Sachs Group Inc. (GS) is the lead underwriter on the planned initial stock sale of Twitter Inc., the social media company, people familiar with the matter said.",Twitter,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Message on Twitter Inc.'s Twitter Account Says Company Has Filed IPO Paperwork,Dow Jones News Service,9/12/2013,209,Twitter Submits Confidential S-1 for IPO ,Twitter,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs Lead Underwriter on Twitter's Planned IPO -Sources,Dow Jones News Service,9/12/2013,178,"Goldman Sachs Lead Underwriter on Twitter's Planned IPO -- Goldman Sachs Group Inc. (GS) is the lead underwriter on the planned initial stock sale of Twitter Inc., ...",Twitter,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Submits Confidential S-1 for IPO,Dow Jones News Service,9/12/2013,163,,Twitter,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs Lead Underwriter on Twitter's Planned IPO -- Sources,Dow Jones News Service,9/12/2013,148,,Twitter,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to get a piece of Twitter's IPO,Gannett News Service,9/12/2013,411,"Matt Krantz, USA TODAY Investors looking to buy into the much-anticipated IPO of Twitter are going to have some waiting to do before seeing if there will be any shares for them.",Twitter,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highly anticipated Twitter IPO is a go,Gannett News Service,9/12/2013,899,"Matt Krantz and Alistair Barr USA TODAY Twitter said Thursday that it filed for an initial public offering, setting the stage for the most high-profile technology stock market debut since Facebook's troubled share sale last year.",Twitter,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Submits Intent for IPO,Hollywood Reporter,9/12/2013,317,"Twitter has tweeted its intent for an initial public offering. ""We've confidentially submitted an S-1 to the SEC for a planned IPO. This tweet does not constitute an offer of any securities for sale,"" the company tweeted on Thursday.",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twitter Files, Confidentially, For Anticipated IPO",Investor's Business Daily,9/12/2013,434,Microblog Twitter announced late Thursday that it filed for what will be the tech world's most-anticipated initial public offering since Facebook's (FB) in May 2012.,Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To keep it brief: Twitter files for IPO,Los Angeles Times,9/12/2013,1182,Twitter made the surprise announcement that it planned to sell stock to the public as only Twitter could: in less than 140 characters. SAN FRANCISCO É?? Twitter made the surprise announcement that it planned to sell stock to the public as only ...,Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twitter announces, via tweet, that it has filed for an IPO",Los Angeles Times,9/12/2013,349,"Twitter has filed for an initial public offering of stock, months earlier than expected. The 7-year-old microblogging site announced the news -- via tweet, of course -- on Thursday afternoon: ""We've confidentially submitted an S-1 to the SEC ...",Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The IPO tweet heard around the Twitterverse: reaction on Twitter,Los Angeles Times,9/12/2013,373,"SAN FRANCISCO -- It was the tweet heard around the Twitterverse: ""We've confidentially submitted an S-1 to the SEC for a planned IPO. This Tweet does not constitute an offer of any securities for sale.""",Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter files as struggling tech IPO market shows some life,Los Angeles Times,9/12/2013,533,Twitter can expect to face some serious headwinds as it moves toward its public offering of stock . But there may also be some reasons for optimism.,Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter files for an IPO; five things you should know,Los Angeles Times,9/12/2013,642,"As you may have heard, Twitter has filed for a confidential initial public offering of stock, so in case you aren't too familiar with the company, here are five quick things you should know.",Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of Course They Tweeted Their IPO: Twitter Files,MediaPost.com,9/12/2013,416,,Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Files 'Confidential' IPO,MediaPost.com,9/12/2013,310,"Twitter said Thursday the company took the first step toward going public by submitting to the Securities and Exchange Commission a confidential S-1 filing, which means the company admits to generating less than $1 billion in annual ...",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Of Course They Tweeeted Their IPO: Twitter Files Of Course They Tweeted Their IPO: Twitter Files,MediaPost.com,9/12/2013,414,"Is it possible to file for an IPO in 140 characters or less? Well, Twitter pretty much did it, or announced the filing, appropriately enough in a 5 pm Tweet from @twitter.",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Twitter's 'confidential' IPO filing means,San Francisco Business Times Online,9/12/2013,474,"Twitter Inc. confidentially filed for its initial public offering Thursday, appropriately enough announced in a tweet by the San Francisco-based micro-blogging social network company.",Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 best tweets about Twitter IPO,SeattlePI.com,9/12/2013,33,"Of course Twitter tweeted its IPO, and users tweeted right back. [View the story ""The 10 best Twitter IPO tweets"" on Storify]",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zuck on Twitter IPO: I might not be the guy to ask,Silicon Valley/San Jose Business Journal,9/12/2013,192,"Mark Zuckerberg admits it wasn't always fun at Facebook shortly after the company's initial public offering. When asked at TechCrunch Disrupt SF for advice for Twitter as it approaches an inevitable IPO, Zuck demurred, saying perhaps he ...",Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which investors will score off Twitter's IPO,Silicon Valley/San Jose Business Journal,9/12/2013,309,"Twitter has  finally announced its long-awaited IPO , surely putting a spring in the step of the company's long list of investors. Details aren't available yet on what the company hopes to bring in from a public launch and what investors ...",Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter announces IPO,Silicon Valley/San Jose Business Journal,9/12/2013,318,"Twitter is finally going public after submitting an S-1 to the Securities and Exchange Commission. The San Francisco company announced the much-anticipated move in a Tweet  this afternoon, saying, ""We've confidentially submitted an S-1 to ...",Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everything you need to know about pre-IPO Twitter,Silicon Valley/San Jose Business Journal,9/12/2013,345,"If you've ever used the interwebs, you may have heard that San Francisco-based social networking company  Twitter Inc. has confidentially filed  for a long-anticipated initial public offering.",Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"With tweet, Twitter announces IPO",St. Louis Business Journal Online,9/12/2013,142,"Twitter Inc. announced in a tweet Thursday afternoon, ""We've confidentially submitted an S-1 to the SEC for a planned IPO. This Tweet does not constitute an offer of any securities for sale.""",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The road to Twitter's IPO,The Oakland Tribune,9/12/2013,186,"Twitter co-founder Jack Dorsey, working at a podcasting startup called Odeo, develops Twitter as an in-house messaging service. On March 21 Dorsey publishes the first tweet ever: ""just setting up my ...",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter IPO: Venture Capital investors in line for big score,The Oakland Tribune,9/12/2013,234,"Although it stands to raise hundreds of millions of dollars from its IPO, hasn't been hurting for cash, thanks to venture capital backers who could clean up themselves in the company's stock offering.",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Kicks Off Process For IPO,The Wall Street Journal,9/12/2013,901,Twitter Inc. broke the news Thursday on its own short-message service that it has filed confidential paperwork to begin ...,Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Sets IPO Plan in Motion,The Wall Street Journal,9/12/2013,111,"(This story has been posted on The Wall Street Journal Online's Digits blog at http://blogs.wsj.com/digits/ ) By Brian R. Fitzgerald Twitter, which is currently valued at about $10 billion, officially set in motion its long-expected plan for ...",Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter: We've Filed Confidentially for IPO,The Wall Street Journal,9/12/2013,262,(This story has been posted on The Wall Street Journal Online's MoneyBeat blog at http://blogs.wsj.com/moneybeat/) By David Benoit Twitter Inc. just sent ripples through the IPO world: Tweeting it has filed confidentially for an IPO.,Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter Files IPO as Social Media Stocks Storm Back,The Wall Street Journal,9/12/2013,364,,Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twitter IPO: Union Square Ventures, Jeff Bezos Firm Among Those That Stand to Gain",The Wall Street Journal,9/12/2013,359,(This story has been posted on The Wall Street Journal Online's Venture Capital Dispatch blog at http://blogs.wsj.com/venturecapital/ ) By Russ Garland,Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twitter IPO: Union Square Ventures, Jeff Bezos Firm Among Those That Stand to Gain",The Wall Street Journal,9/12/2013,368,(This story has been posted on The Wall Street Journal Online's Venture Capital Dispatch blog at http://blogs.wsj.com/venturecapital/) By Russ Garland,Twitter,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Key Questions About Twitter's Ads Before the IPO,Adweek,9/13/2013,1422,Can Twitter's mobile ads explode and become a revenue bedrock like they have with Facebook? Will Twitter ever attract Facebook's herd of direct-response marketers and local businesses?,Twitter,Technology,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
