Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,Sentiment,List Price,Market Price,Difference
"IPO Activity Surges In Numbers, Price Even Before Alibaba 10 New Issues This Week U.S. listings double pace of 2013, a 9-year high; King...",Investor's Business Daily,3/18/2014,766,"The IPO market is moving at a blistering pace with the average price of new issues this year up nearly 40% from their offering price. And the 45 initial public offerings completed thus far is double the amount from the same period last year, ...",Alibaba,Technology,1,3,1,,,,
"Alibaba, Weibo set up U.S.-Asia IPO horse race; Two more Asia-based companies are opting to go public on U.S. exchanges",MarketWatch,3/18/2014,830,NEW YORK (MarketWatch) É??The news that Weibo and Alibaba are going public is sure to set off the usual horse race between the New York Stock Exchange and the Nasdaq. But there's another contest at play here too: U.S. exchanges versus their ...,Alibaba,Technology,1,3,1,,,,
Yahoo stock surges in anticipation of Alibaba IPO,The San Mateo Daily Journal,3/18/2014,692,"SAN FRANCISCO É?? Yahoo is getting another lift from its stake China's Alibaba Group, a thriving Internet company that has helped mask Yahoo's own financial funk.",Alibaba,Technology,1,3,4,,,,
"New York Stock Exchange Is Front-Runner to Land Prized Alibaba Listing; IPO Is Expected to Raise as Much as $15 Billion, Which Would Be One of the Largest Ever NYSE Leads Race to Host Alibaba's IPO --- China Tech Firm May Raise $15 Billion",The Wall Street Journal,3/18/2014,710,"The New York Stock Exchange is the front-runner to win the high-profile listing for the shares of Chinese e-commerce giant Alibaba Group Holding Ltd., according to people familiar with the matter.",Alibaba,Technology,1,3,1,,,,
New York flexes IPO muscle ; Alibaba chooses U.S. for its initial public offering,USA Today,3/18/2014,473,"Chinese Internet company Alibaba is launching its IPO in New York, underscoring the USA's standing as the global hub of the new stock boom. Companies like Alibaba are rushing to list their initial public offerings on major U.S. exchanges, a ...",Alibaba,Technology,1,3,1,,,,
U.S. investors may win with Alibaba's IPO,USA Today,3/18/2014,563,Alibaba's plans to file an initial public offering with the New York Stock Exchange could be a big win for U.S. tech investors -- at least for those who can get their shares at or near the eventual IPO price.,Alibaba,Technology,1,3,1,,,,
Alibaba Eyes NYSE for IPO (Video),South Florida Business Journal,3/19/2014,7,Alibaba Eyes NYSE for IPO (Video),Alibaba,Technology,1,4,4,,,,
NYSE Leads Race to Host Alibaba's IPO --- China Tech Firm May Raise $15 Billion,The Wall Street Journal,3/19/2014,711,,Alibaba,Technology,1,4,1,,,,
Duly Noted: Alibaba IPO had banks seeing dollar signs for months (Video),New York Business Journal Online,3/25/2014,343,"When some of the biggest banks in the world jostled for position to get a piece of Alibaba's impending IPO, they put work for other, smaller clients on the back burner. That's understandable, given that Alibaba's offering could end up ...",Alibaba,Technology,1,3,4,,,,
China's E-Commerce Giant Alibaba To Offer U.S.-Listed IPO,NPR,3/25/2014,688,DAVID GREENE: The Chinese tech company Alibaba let's you buy and sell online - think Amazon or eBay. Now the Internet commerce giant will have something else in common with those U.S. companies. Alibaba plans to go public in New York later ...,Alibaba,Technology,1,3,1,,,,
Alibaba's 1% Fee for Bankers Among Lowest for Internet IPO -- Sources -- 2nd Update Alibaba to Pay Underwriters 1% of U.S. IPO as Base Fee; Fees May Be Smallest in U.S. Since Facebook's IPO,Dow Jones News Service,3/28/2014,765,"The fees for bankers handling Alibaba Group Holding Ltd.'s initial public offering indicate just how big a trophy deal it is: As a percentage of the sum raised, they may be the smallest in the U.S. since Facebook Inc.'s IPO a couple of ...",Alibaba,Technology,1,6,3,,,,
Alibaba to Pay Underwriters 1% of U.S. IPO as Base Fee; Fees May Be Smallest in U.S. Since Facebook's IPO,The Wall Street Journal,3/28/2014,745,,Alibaba,Technology,1,6,1,,,,
GrubHub's Strong Debut Shows Heavy IPO Appetite 13 New Issues Are On Tap Startups lining up to go public; Alibaba Group hasn't formally filed yet,Investor's Business Daily,4/7/2014,734,"Hungry investors could not get enough of GrubHub, which soared 31% in Friday's debut. The online provider of restaurant food orders for delivery priced at an above-range 26, opened at 40 and closed at 34, despite a sharp market sell-off.",Alibaba,Technology,1,2,1,,,,
Q: When will Alibaba's IPO trade? Don't hold your breath: Road to IPO can be long ; Q: When will Alibaba's IPO...,The Courier-Journal,4/10/2014,238,"Chinese Internet stock Alibaba is due to be one of the biggest things to happen to initial public offerings since Facebook. The company, which offers a variety of online services to Chinese consumers, hasn't provided details about timing ...",Alibaba,Technology,1,5,4,,,,
Don't hold your breath: Road to IPO can be long ; Q: When will Alibaba's IPO...,USA Today,4/10/2014,246,,Alibaba,Technology,1,5,1,,,,
"Online Map Company AutoNavi Agrees to be Acquired by Alibaba; Alibaba, Which Is Preparing for IPO Later this Year in New York, Already Owns...",The Wall Street Journal,4/11/2014,174,"Chinese online map company AutoNavi Holdings Ltd. said it has agreed to be bought out by Alibaba Group Holding Ltd. AutoNavi on Friday said it agreed to the dealÉ??worth $21 an American depositary share, or $1.13 billionÉ??which was first ...",Alibaba,Technology,1,6,1,,,,
"Yahoo to Set Stage for Alibaba IPO's Filing; When U.S. Firm Releases Its Quarterly Results, It Will Also Shed Light on E-Commerce Giant",The Wall Street Journal,4/13/2014,564,"It's a big week for tech earnings, including Google Inc., International Business Machines Corp. and Intel Corp. But the most interesting news may come from Yahoo Inc., which will release revenue and profit numbers from Alibaba Group Holding ...",Alibaba,Technology,1,1,1,,,,
Yahoo earnings to detail Alibaba finances ahead of IPO filing,San Francisco Business Times Online,4/14/2014,147,"Yahoo Inc. is set to report earnings on Tuesday that will include a first detailed look at Alibaba's financial results, as the Chinese e-commerce company prepares to file for an initial public offering.",Alibaba,Technology,1,2,2,,,,
Yahoo to Set Stage for Alibaba's IPO,The Wall Street Journal,4/14/2014,664,"It's a big week for tech earnings, including Google Inc., International Business Machines Corp. and Intel Corp. But the most interesting news may come from Yahoo Inc., which will release revenue and profit numbers from Alibaba Group Holding ...",Alibaba,Technology,1,2,1,,,,
Bigger than Facebook? Chinese tech giant Alibaba plans U.S. IPO Alibaba plans giant IPO in U.S. The stock launch could raise $15 billion and...,Los Angeles Times,4/16/2014,1307,The largest tech IPO of the year will come from a company that many Americans have never heard of. Alibaba -- a Chinese e-commerce behemoth that produces more sales and net income than Amazon and EBay combined -- has decided to go public in ...,Alibaba,Technology,1,4,1,,,,
Here comes Alibaba: Chinese ecommerce giant prepares for U.S. IPO,The Oregonian,4/16/2014,306,"The veil is about to drop on a Chinese dynamo, Alibaba.com, an ecommerce company that, as the Los Angeles Times puts it, is ""a behemoth"" with revenues greater than Amazon and eBay combined.",Alibaba,Technology,1,4,4,,,,
Alibaba Appoints Rothschild Group as Financial Adviser Ahead of IPO; Rothschild Has Been Involved in a Number of High-Profile Deals in Asia,The Wall Street Journal,4/16/2014,540,"Alibaba Group Holding Ltd . has appointed European merchant bank Rothschild Group as its financial adviser ahead of its multibillion-dollar initial public offering in the U.S., people with knowledge of the deal said Wednesday.",Alibaba,Technology,1,4,1,,,,
Little-known giant to go public on Wall St. Debut of Alibaba may be biggest tech...,Chicago Tribune,4/17/2014,533,,Alibaba,Technology,1,5,1,,,,
Alibaba plans giant IPO in U.S. The stock launch could raise $15 billion and...,Los Angeles Times,4/17/2014,1277,,Alibaba,Technology,1,5,1,,,,
Little-known giant to go public on Wall St. Debut of Alibaba may be biggest tech IPO in history Little-known giant to go public on Wall St. Debut of Alibaba may be biggest tech...,The Baltimore Sun,4/17/2014,534,"The largest tech initial public offering of the year, and perhaps of all time, isn't coming from Silicon Valley. Alibaba, a Chinese e-commerce behemoth that's bigger than Amazon and eBay combined, has decided to go public on Wall Street ...",Alibaba,Technology,1,5,2,,,,
Alibaba's Questions to Answer Before IPO,The Wall Street Journal,4/17/2014,403,"Alibaba's fourth-quarter numbers look good. But as the Chinese e-commerce giant gears up for a U.S. listing, it still has a lot of questions to answer about its future.",Alibaba,Technology,1,5,1,,,,
Weibo flies as IPOs flap ; Cooling IPO market could crimp Alibaba's awaited debut,USA Today,4/18/2014,455,"Weibo, better known as China's answer to Twitter, was the big winner among five initial public offerings that made their debuts Thursday. Yet, it wasn't a highflying performance to make investors chirp.",Alibaba,Technology,1,6,1,,,,
ALIBABA IPO PUTS HEAT ON YAHOO,Daily Press,4/19/2014,1027,"Yahoo's Marissa Mayer can't rely on Alibaba Group Holding to bail her out much longer, putting the onus on her to accelerate a sales rebound that's only getting started.",Alibaba,Technology,1,7,2,,,,
Alibaba Documentary Release Set; IPO Filing Expected,Investor's Business Daily,4/21/2014,292,A documentary filmmaker said Monday that a movie detailing the rise of China's Alibaba Group is set for global release at the end of May. The announcement by Taluswood Films comes as the China e-commerce leader is expected to file this week ...,Alibaba,Technology,1,2,1,,,,
"Alibaba adds shares to IPO, making it a contender for biggest ever",Silicon Valley/San Jose Business Journal,4/25/2014,248,"Chinese e-commerce company Alibaba Group Holding Ltd. is considering adding more shares to its U.S. IPO, putting it within range of the record-setting $22.1 billion offering of Agricultural Bank of China Ltd. in 2010, according to the  Wall ...",Alibaba,Technology,1,6,2,,,,
Alibaba IPO could be the biggest ever,China Daily-US Edition,4/29/2014,908,"Sometime soon, perhaps in a few days, Chinese e-commerce giant Alibaba Group Holding will file for an initial public offering that could be the largest ever.",Alibaba,Technology,1,3,4,,,,
3 Reasons to Stay Away From Alibaba's IPO,Barron's,5/2/2014,1235,Editor's Note: Sundaram is a finance professor at the Tuck School of Business at Dartmouth College. He has no investment positions in any of the companies mentioned in this article or in Chinese IPOs.,Alibaba,Technology,1,6,1,,,,
IPO Market Gets Reboot Following Lull; Alibaba Awaits,Investor's Business Daily,5/5/2014,390,"Nine initial public offerings are on the calendar this week, including two from the tech sector and three from the medical field. This week's offerings come amid a slow period, after a sizzling IPO market in the first quarter.",Alibaba,Technology,1,2,1,,,,
"As Alibaba IPO nears, Yahoo's Achilles' heel still its advertising business",Silicon Valley/San Jose Business Journal,5/5/2014,248,"As Yahoo's prized investment, Alibaba, nears its IPO and CEO Marissa Mayer approaches two years at Yahoo, the company's stock has doubled after dozens of acquisitions and new product launches.",Alibaba,Technology,1,2,2,,,,
How Advertising Powers China's IPO Darling Alibaba,Adweek,5/6/2014,511,"Alibaba Group finally announced its long awaited public offering Tuesday, disclosing for the first time its financial statements that reveal the inner workings of this Chinese Internet hydra with tentacles in e-commerce, e-payments, social ...",Alibaba,Technology,1,3,2,,,,
Social media reaction: Reaction: Online commerce giant Alibaba files IPO,Contra Costa Times,5/6/2014,75,Observers around the San Francisco Bay Area and beyond weighed in Tuesday on the Chinese company's S-1 paperwork Tuesday afternoon -- the largest tech public offering since Facebook in 2012.,Alibaba,Technology,1,3,4,,,,
Alibaba files for U.S. IPO,MarketWatch,5/6/2014,322,"Chinese Internet giant Alibaba Group Holding Ltd. officially filed plans Tuesday to offer its shares in the U.S., in what is expected to be one of the largest stock listings in history.",Alibaba,Technology,1,3,1,,,,
"Alibaba IPO faces this U.S. hurdle: What is it? Known mainly for Yahoo connection, Alibaba isn't yet a household name",MarketWatch,5/6/2014,785,"This story was first published on May 5. It has been updated to reflect details of the IPO filing. SAN FRANCISCO (MarketWatch) É?? To U.S. investors, Alibaba is known mainly as the Chinese company on whose shoulders U.S. Internet powerhouse ...",Alibaba,Technology,1,3,1,,,,
Yahoo's Alibaba moment has finally arrived; Yahoo shares trade up more than 1% after Alibaba files for its IPO,MarketWatch,5/6/2014,475,"SAN FRANCISCO (MarketWatch) É?? Yahoo's Alibaba moment is finally here. Alibaba, a company in which Yahoo Inc. ?ˇ owns a 24% stake, has filed papers for an initial public offering, capping what had been a long process not just for the Chinese ...",Alibaba,Technology,1,3,1,,,,
The Alibaba IPO: a primer,SeattlePI.com,5/6/2014,323,"Amid a market climate in which tech industry darlings have postponed going public seemingly indefinitely, Alibaba is one of the most anticipated tech IPOs of the year. The Chinese company's IPO filing is expected to hit this week É?? perhaps ...",Alibaba,Technology,1,3,4,,,,
"Alibaba files for IPO, creating questions for Yahoo and Silicon Valley",Silicon Valley/San Jose Business Journal,5/6/2014,504,"The long-awaited Alibaba IPO filing is finally here, with the company officially putting in papers to go public on the NYSE in what could be the largest U.S. Internet public offering ever.",Alibaba,Technology,1,3,2,,,,
Social media reaction: Reaction: Online commerce giant Alibaba files IPO,The Oakland Tribune,5/6/2014,48,Observers around the San Francisco Bay Area and beyond weighed in Tuesday on the Chinese company's S-1 paperwork Tuesday afternoon -- the largest tech public offering since Facebook in 2012.,Alibaba,Technology,1,3,4,,,,
It might take a bit of magic to get in on Alibaba launch ; Q: How can I get a piece of Alibaba's IPO?,USA Today,5/6/2014,243,"Investors who missed out on Amazon, PayPal and eBay in the early days are hoping Alibaba will be their next chance. The Chinese Internet company is a giant there, playing a critical role in electronic commerce in the region. When the ...",Alibaba,Technology,1,3,1,,,,
Morning Scan: Alibaba's IPO Fees Windfall; Asian Hiring Probe Expands,American Banker,5/7/2014,490,"Bigger than Facebook: It's all Alibaba, all the time. The Chinese e-commerce company released the prospectus for its U.S. IPO and the New York Times, Washington Post and Wall Street Journal all lavished heaps of coverage on the disclosure. ...",Alibaba,Technology,1,4,4,,,,
China's Alibaba files for U.S. IPO,Argus Leader,5/7/2014,415,Chinese e-commerce giant Alibaba on Tuesday filed its much-anticipated plans to sell shares in what could be one of the biggest initial public offerings ever.,Alibaba,Technology,1,4,4,,,,
Alibaba aims to raise $1B in IPO,Chicago Tribune,5/7/2014,147,"Alibaba will seek to raise $1 billion in what could become the largest technology debut in history, the Chinese e-commerce and payments giant said Tuesday in a filing for its eagerly anticipated initial public offering.",Alibaba,Technology,1,4,1,,,,
Alibaba IPO poses pivotal test for Yahoo CEO,Dallasnews.com,5/7/2014,654,SAN FRANCISCO É?? Yahoo CEO Marissa Mayer faces a $10 billion decision in a few months. The pivotal moment will come when the Chinese e-commerce leader Alibaba Group completes its initial public offering of stock É?? an enormous deal that ...,Alibaba,Technology,1,4,4,,,,
Alibaba IPO Filing Leaves Many Questions Unanswered,Dow Jones News Service,5/7/2014,1200,"As Alibaba Group Holding Ltd. prepares for what might be one of the biggest initial public offerings in history, it faces the challenge of convincing investors it will be a good buy.",Alibaba,Technology,1,4,3,,,,
China's Alibaba files for U.S. IPO,Florida Today,5/7/2014,415,,Alibaba,Technology,1,4,4,,,,
Alibaba IPO plans: Many questions unanswered,Gannett News Service,5/7/2014,626,"Jon Swartz and Gary Strauss, USATODAY Alibaba's long-awaited registration statement for the Chinese e- commerce giant's public stock offering runs more than 2,300 pages. Yet potential investors who want to snap up what could eventually be a ...",Alibaba,Technology,1,4,3,,,,
China Giant Alibaba Finally Files For IPO On U.S. Exchange But Is It NYSE Or Nasdaq? New issue may end up raising some $20 billion...,Investor's Business Daily,5/7/2014,594,"Alibaba Group filed its long-awaited initial public offering late Tuesday, setting the stage for what is expected to be the big gest U.S. listing since Facebook's.",Alibaba,Technology,1,4,1,,,,
Beware: Alibaba IPO isn't really selling Alibaba,MarketWatch,5/7/2014,240,"MARKETWATCH FRONT PAGE The problem for U.S. investors in the big Alibaba offering is that they won't actually have title to Taobao, Tmall or any of Alibaba's highly lucrative Chinese assets.",Alibaba,Technology,1,4,1,,,,
"U.S. stock futures trim gains after productivity report; Twitter inches up premarket, Yahoo falls after Alibaba IPO news",MarketWatch,5/7/2014,831,NEW YORK (MarketWatch) É?? U.S. stock futures trimmed earlier gains on Wednesday after a government report showed a bigger decline in productivity than expected in the first quarter.,Alibaba,Technology,1,4,1,,,,
Alibaba's magic IPO,New York Daily News,5/7/2014,95,"CHINESE e-commerce giant Alibaba Tuesday filed for what could be among the largest U.S. initial public offerings ever. While little known in the U.S., its websites sold about $248 billion worth of goods last year - more than Amazon and eBay ...",Alibaba,Technology,1,4,2,,,,
Alibaba IPO makin' FB look like peanuts,New York Post,5/7/2014,316,Chinese e-commerce giant Alibaba moved on Tuesday to launch one of the largest initial public offerings ever. The company said it expects the US offering to raise at least $1 billion - but by the time its shares hit the Street the offering ...,Alibaba,Technology,1,4,2,,,,
China's Alibaba files for U.S. IPO,News-Press,5/7/2014,413,Chinese e-commerce giant Alibaba on Tuesday filed its much-anticipated plans to sell shares in what could be one of the biggest initial public offerings ever.,Alibaba,Technology,1,4,4,,,,
China's Alibaba files in U.S. for what may be biggest tech IPO: Reuters,PE Hub Network,5/7/2014,1411,"Alibaba gave investors a closer look at the scale and growth of the Chinese e-commerce juggernaut in an initial public offering (IPO) prospectus filed on Tuesday, the first step in what could be the largest technology debut in history.",Alibaba,Technology,1,4,4,,,,
China's Alibaba files for U.S. IPO,Pensacola News Journal,5/7/2014,415,,Alibaba,Technology,1,4,4,,,,
"How Alibaba's IPO will affect America's tech companies Alibaba files for IPO, raising questions for Yahoo and Silicon Valley",Portland Business Journal Online,5/7/2014,502,"The long-awaited Alibaba IPO filing is finally here, with the company officially putting in papers to go public on the NYSE in what could be the largest U.S. Internet public offering ever.",Alibaba,Technology,1,4,4,,,,
"Alibaba files for IPO, raising questions for Yahoo and Silicon Valley",San Francisco Business Times Online,5/7/2014,490,,Alibaba,Technology,1,4,2,,,,
Will Alibaba's IPO prove to be a lose-lose for other technology offerings?,Silicon Valley/San Jose Business Journal,5/7/2014,554,"The expected mega-IPO from Alibaba could be a lose-lose situation for other technology companies hoping to go public this year. If Alibaba  holds the biggest IPO of all time, as some have predicted, it will be easy to dismiss as an outlier ...",Alibaba,Technology,1,4,2,,,,
China's Alibaba files for U.S. IPO,St. Cloud Times,5/7/2014,415,,Alibaba,Technology,1,4,4,,,,
China's Alibaba files for U.S. IPO,Statesman Journal,5/7/2014,415,,Alibaba,Technology,1,4,4,,,,
Chinese e-commerce giant Alibaba files for U.S. IPO China's Alibaba files for U.S. IPO China's Alibaba files for U.S. IPO China's Alibaba files for U.S. IPO China's Alibaba files for U.S. IPO China's Alibaba files for U.S. IPO China's Alibaba files for U.S. IPO,The Burlington Free Press,5/7/2014,318,Chinese e-commerce giant Alibaba Tuesday filed its much-anticipated plans to sell shares in what could be one of the biggest initial public offerings ever.,Alibaba,Technology,1,4,4,,,,
"Alibaba IPO could be bigger than Facebook, Twitter",The Christian Science Monitor,5/7/2014,988,"Tuesday, Chinese online retail giant Alibaba filed papers to go public on the New York Stock Exchange. The e-commerce company, bigger than Amazon and eBay combined but little known in the United States, was expected for months to launch its ...",Alibaba,Technology,1,4,4,,,,
China's Alibaba files for U.S. IPO,The Courier-Journal,5/7/2014,417,,Alibaba,Technology,1,4,4,,,,
China's Alibaba files for U.S. IPO,The Daily Advertiser,5/7/2014,415,,Alibaba,Technology,1,4,4,,,,
Alibaba IPO Knocks Yahoo Off Track,The Wall Street Journal,5/7/2014,378,"Alibaba has finally made its entrance. But for Yahoo investors, the exit beckons. Alibaba Group Holding filed for an initial public offering late Tuesday. Shares of Yahoo, which owns a 22.6% stake in the Chinese e-commerce giant and has been ...",Alibaba,Technology,1,4,1,,,,
"China's Internet Crown Jewel Sets IPO --- E-Commerce Giant Alibaba, Still Growing Quickly, Is Valued at More Than $100 Billion in U.S...",The Wall Street Journal,5/7/2014,1129,"Chinese Internet giant Alibaba Group Holding Ltd. officially filed plans to offer shares in the U.S. in a deal that would value the company at more than $100 billion, confirming the scale of its e-commerce operations ahead of what is ...",Alibaba,Technology,1,4,1,,,,
An Alibaba IPO means lots of cash for Yahoo to spend on more acquisitions,The Washington Post,5/7/2014,699,The Chinese Alibaba Group filed for what could be a record-breaking tech initial public offering Tuesday. And thanks to a 2005 investment in the company Yahoo is in line to get a major cash infusion from the IPO.,Alibaba,Technology,1,4,1,,,,
"Alibaba already building presence in U.S. Web giant, readying IPO, owns pieces of Silicon Valley firms Alibaba already building presence in U.S. Web giant, readying IPO, owns pieces...",Chicago Tribune,5/8/2014,515,"Alibaba may be making its debut on Wall Street this summer, but it's no stranger to the investors of Silicon Valley. In the past 18 months, the Chinese e-commerce giant has burrowed its way into Silicon Valley's exclusive investment circles, ...",Alibaba,Technology,1,5,1,,,,
Jack outta the box Alibaba boss strikes fighting IPO pose,New York Post,5/8/2014,421,"He's ready to fight for your money. Meet Jack Ma, founder of Alibaba, the Chinese Internet giant that's gearing up to raise billions from US investors in what's expected to be the biggest initial public offering ever.",Alibaba,Technology,1,5,2,,,,
"Alibaba already building presence in U.S. Web giant, readying IPO, owns pieces...",South Florida Sun-Sentinel,5/8/2014,523,,Alibaba,Technology,1,5,4,,,,
Alibaba IPO poses test for Yahoo CEO,The Hawk Eye,5/8/2014,309,"SAN FRANCISCO -- Yahoo CEO Marissa Mayer will face a $10 billion decision in a few months. She already has made many changes since taking over nearly two years ago, but all the internal reshuffling and deal-making has merely been a prelude ...",Alibaba,Technology,1,5,2,,,,
5 things you should know about Alibaba's IPO,The Orange County Register,5/8/2014,798,"May 08--It's arguably the world's biggest e-commerce business, fulfilling more than 11 billion orders a year. Yet, China-based Alibaba Group is still a relative unknown in the United States.",Alibaba,Technology,1,5,4,,,,
Alibaba's IPO filing highlights an Amazon weakness,The Patriot Ledger,5/8/2014,346,SAN FRANCISCO - Alibaba Group Holding is often called the Amazon.com of China. Yet the Asian company's initial public-offering filing shows that the differences between the two e-commerce giants are vast.,Alibaba,Technology,1,5,4,,,,
Alibaba's IPO Won't Help Yahoo,The Wall Street Journal,5/8/2014,325,"Alibaba has finally made its entrance. But for Yahoo investors, the exit beckons. Alibaba Group Holding filed for an initial public offering late Tuesday. Shares of Yahoo, which owns a 22.6% stake in the ...",Alibaba,Technology,1,5,1,,,,
"Alibaba's IPO filing has some glaring holes ; Market value, IPO price not addressed",USA Today,5/8/2014,543,"Alibaba's long-awaited registration statement for the Chinese e- commerce giant's public stock offering runs more than 2,300 pages. Yet potential investors who want to snap up what could eventually be a record-size IPO remain short on ...",Alibaba,Technology,1,5,1,,,,
Alibaba's IPO papers warn about conflicts E-commerce mogul likely faces...,Chicago Tribune,5/9/2014,564,,Alibaba,Technology,1,6,1,,,,
Alibaba's IPO papers warn about conflicts E-commerce mogul likely faces questions about his holdings Alibaba's IPO papers warn about conflicts E-commerce mogul likely faces...,Chicago Tribune,5/9/2014,565,"Partway through Alibaba's long-awaited initial public offering prospectus was a subtle, but striking, warning: Investors should know that lead founder and Executive Chairman Jack Ma might work against the company's best interests.",Alibaba,Technology,1,6,1,,,,
"As Alibaba prepares for IPO, tech stocks retreat; Technology stocks get ditched...",Daily Commercial,5/9/2014,724,,Alibaba,Technology,1,6,4,,,,
