Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,Sentiment,List Price,Market Price,Difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key data on eve of Facebook IPO,The San Francisco Chronicle,4/24/2012,627,"Facebook has more than 901 million monthly active users, up from 845 million in the last quarter, although the social network reported a dip in advertising revenue and net income, according to documents filed Monday.",Facebook,Technology,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook's Growth Slows as IPO Nears,The Wall Street Journal,4/24/2012,1159,"As Facebook Inc. enters the final weeks before its landmark initial public offering, not all of the arrows are pointing up. In what is likely to be the last snapshot of its financial condition before the expected May IPO, Facebook disclosed ...",Facebook,Technology,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook's Growth Slows as IPO Nears,The Wall Street Journal,4/24/2012,1070,"As Facebook Inc. enters the final weeks before its landmark initial public offering, not all of the arrows are pointing up. In what is likely to be the last snapshot of its financial condition before the expected May IPO, Facebook disclosed ...",Facebook,Technology,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Status Changed to 'It's Complicated',The Wall Street Journal,4/24/2012,326,By David Benoit Facebook's buying binge might have more of an impact on the company than just spending its cash.,Facebook,Technology,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: The Teflon IPO,The Wall Street Journal,4/24/2012,452,By David Benoit Can Facebook possibly miss time its IPO?,Facebook,Technology,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook expected to hold off on IPO,The Christian Science Monitor,4/25/2012,452,"Analysts envisioned that Facebook would start trading on Nasdaq by mid-May. Now it looks like Mark Zuckerberg has other business to deal with, which could prompt a delay in the much-anticipated initial public offering.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: What's With That Instagram Breakup Fee?,The Wall Street Journal,4/25/2012,464,"By David Benoit Earlier this week, Facebook divulged in its latest IPO filing some more of the financial details about its $1 ...",Facebook,Technology,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook should have gone public already; Commentary: Zuckerberg's solo deal, patents, may delay IPO timing",MarketWatch,4/26/2012,1096,"SAN FRANCISCO (MarketWatch) É?? Facebook Inc.'s stunning last-minute acquisition of Instagram earlier this month É?? a solo deal pursued by Chief Executive Mark Zuckerberg É?? and the company's big patent deal this week, could be mucking up the ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO may come May 17,Stock Market Digital,4/26/2012,93,"U.S., April 26 -- Social networking site Facebook is expected to make its initial public offering official on May 17. Many outlets are reporting the Facebook is eyeing at the date to make their big splash on the market, which will see the ...",Facebook,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook pushing back IPO, report says; Facebook's market debut has been expected to be in mid- to late May, but a report from CNBC indic...",The Washington Post,4/26/2012,311,"Facebook's market debut has been expected to be in mid- to late May, but a report from CNBC indicates that the process could take a little longer than analysts expected.",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO will create multimillionaires,Puget Sound Business Journal Online,4/27/2012,852,"The morning after Facebook makes its initial public offering of stock, there may be a lot of people updating their statuses to ""I'm a multimillionaire.""",Facebook,Technology,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beware of Facebook pre-IPO scams,Daily Post,4/28/2012,184,"As Facebook IPO buzz grows, the U. S. Securities and Exchange Commission is warning investors to beware of scams offering shares of the social media giant and other hot tech companies that have not yet gone public.",Facebook,Technology,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO Road Show May Be Ready As Early As Monday -CNBC's Kelly,CNBC,5/1/2012,103,"DOW JONES NEWSWIRES Facebook may start the road show for its initial public offering as soon as Monday morning, CNBC's Kate Kelly reported Tuesday.",Facebook,Technology,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The FaceBook IPO - The Bleeding Edge Blog,CPA Practice Advisor,5/1/2012,446,"All in all, I was pretty unimpressed by the FaceBook IPO last Friday (NASDAQ: FB). Biggest tech IPO ever? Wait a year and see whether it holds up as well as Google. Lots of millionaires and billionaires? We'll see if they still are when ...",Facebook,Technology,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small Investors Will Struggle to Make Facebook IPO Complaints Heard,Institutional Investor Magazine,5/1/2012,521,"Small investors face an uphill battle with a lawsuit against Facebook and its investment banks, complaining that crucial information was concealed ahead of the company's initial public offering last week, according to legal experts.",Facebook,Technology,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why Facebook's IPO Valuation is Insane,Institutional Investor Magazine,5/1/2012,749,"I was recently on CNBC discussing the Facebook valuation, which I believe is priced for out-of-this-world perfection. The easiest way to assess the insanity of Facebook's valuation is by comparing it to Google's. Facebook is set to go ...",Facebook,Technology,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO Was a Success and Wall Street Got What It Deserved,Institutional Investor Magazine,5/1/2012,809,Being politically correct has never been my strongest quality; therefore I'll say this: I don't feel sorry for Facebook's new shareholders. Despite Nasdaq technical glitches and analysts sharing changes in estimates for the near quarter ...,Facebook,Technology,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO Set for May 18 - Report,National Journal,5/1/2012,95,"Facebook Inc. is planning to start pitching its stock to investors on Monday, and may set its initial public offering for May 18, the Wall Street Journal reports, citing ""people familiar with the matter"".",Facebook,Technology,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report: Facebook IPO set for May 18,SeattlePI.com,5/1/2012,281,"Facebook will go public on May 18, a published report says, in one of the most highly anticipated tech initial public offerings since Google went public in August 2004.",Facebook,Technology,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO appears set for May 18,Silicon Valley/San Jose Business Journal,5/1/2012,225,"Facebook Inc. is reportedly on course to execute its initial public offering on May 18. The Wall Street Journal cited unnamed sources who said the Menlo Park social networking company will start its ""road show"" to woo potential major ...",Facebook,Technology,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writing on the wall for exchanges after Facebook IPO,The Trade,5/1/2012,477,"The faltering start to the Facebook IPO suggests that exchanges and market participants are reaching a technology dead end, forcing them to make a difficult choice, according to Terry Keene, president and CEO at enterprise technology vendor ...",Facebook,Technology,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook's IPO Roadshow To Start Monday - Sources,The Wall Street Journal,5/1/2012,218,"Facebook Inc. is planning to start its roadshow to pitch its stock to investors on Monday, as the social network enters the final stages of its coming public offering, said people familiar with the matter.",Facebook,Technology,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO Set For May 18 - Sources,The Wall Street Journal,5/1/2012,8,WSJ: Facebook IPO Set For May 18 - Sources,Facebook,Technology,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook's Roadshow to Start Monday; IPO Set for May 18,The Wall Street Journal,5/1/2012,218,"Facebook Inc. is planning to start its roadshow to pitch its stock to investors on Monday, as the social network enters the final stages of its coming public offering, said people familiar with the matter.",Facebook,Technology,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Should You Buy the Facebook IPO Day One?,Benzinga.com,5/2/2012,410,"According to reports, Facebook will begin its IPO roadshow next week. The roadshow will see the company pitching its shares to prospective investors. Facebook's IPO date could be later this month.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 2022, will your kids hate you for buying the Facebook IPO?",Boston Business Journal Online,5/2/2012,396,"While Facebook gears up for its  IPO road show, I'm thinking 10 years ahead, to a pitch I'm personally going to have to make: Explaining to a 12-year-old why it was a good idea to publish his baby pictures onto the Internet.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook readies for mid-May IPO,CNN Wire,5/2/2012,323,"NEW YORK (CNNMoney) -- Facebook's hotly anticipated stock market debut is growing near. The company is aiming to begin publicly trading on May 18, according to the Wall Street Journal.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO set for May 18,Daily Post,5/2/2012,268,"Facebook will go public on May 18, the Wall Street Journal reports, in one of the most highly anticipated tech initial public offerings since Google went public in 2004.",Facebook,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Inc's IPO Show To Hit The Road On May 7-Reuters,Reuters,5/2/2012,105,"Date Announced: 20120502 Reuters reported that the roadshow for Facebook Inc's Initial Public Offering (IPO) is scheduled to start on Monday, meaning Facebook's shares should begin trading on May 18. Facebook is set to raise at least $5 ...",Facebook,Technology,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook said ready to market IPO next week,San Francisco Business Times Online,5/2/2012,113,"Facebook Inc. is said to be preparing to market its initial public offering next week, Bloomberg reports. The company could be planning to complete the sale by the end of this month, the report notes.",Facebook,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACEBOOK IPO 'ROAD SHOW' TO START NEXT WEEK?; TIMING OF CAMPAIGN SUGGESTS STOCK COULD TRADE BY END OF MAY,San Jose Mercury News,5/2/2012,291,"Facebook, owner of the world's most popular social-networking service, expects to begin marketing its initial public offering to investors as soon as next week, according to a person with knowledge of the matter.",Facebook,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report says Facebook IPO is May 18,The Boston Globe,5/2/2012,172,"Facebook will go public on May 18, a published report says, in one of the most highly anticipated tech initial public offerings since Google went public in August 2004.",Facebook,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO set for May 18,The Wall Street Journal,5/2/2012,177,"Facebook Inc.'s initial public offering could be happening on May 18, the Wall Street Journal reports, citing unnamed sources. The Journal reports that the social networking giant will on Monday begin a ""road show"" to market its stock to ...",Facebook,Technology,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Circuit: Privacy hearing scheduled; Facebook's IPO; FCC extends Verizon-cable review; Privacy hearing scheduled, Facebook's IPO, FCC extends Verizon-cable review",The Washington Post,5/2/2012,653,"Privacy hearing: The Senate Commerce Committee will hold a hearing to examine the Obama administration's plan to protect online privacy, as well as the privacy report issued by the Federal Trade Commission.",Facebook,Technology,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doubts ahead of Facebook IPO,Wichita Business Journal Online,5/2/2012,98,"Facebook is planning an initial public offering on May 18,  sources tell the Wall Street Journal. But the newspaper reports that there's some doubt about the company as investors and bankers determine how to value it. Facebook is bringing ...",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook valued at up to $95B in IPO price range Facebook valued at up to $95B in IPO price range,Asbury Park Press,5/3/2012,590,"Facebook, the company that turned the Web social, has set a price range for an initial public offering of stock that values the company at up to $95 billion.",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook valued at up to $95B in IPO price range,Athens Banner-Herald,5/3/2012,702,,Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Sets IPO Price Range At $28-$35/Shr; 337M Shares -S-1 Filing,Benzinga.com,5/3/2012,20,View filing here.,Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook sets $28 to $35 IPO price range,CNN Wire,5/3/2012,324,"NEW YORK (CNNMoney) -- It's the day techies and investors have been waiting for: Facebook set a price range of $28 to $35 per share for its initial public offering. It also upped the maximum size of its offering to $13.6 billion, up from ...",Facebook,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook sets $28 to $35 IPO price range Facebook sets $28 to $35 IPO price range Facebook sets $28 to $35 IPO price range,CNN Wire,5/3/2012,531,Updated 4:20 pm ET with additional context NEW YORK (CNNMoney) -- It's the day techies and investors have been waiting for: Facebook set a price range of $28 to $35 per share for its initial public offering. It also upped the maximum size of ...,Facebook,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zuckerberg to raise $1 billion cash from Facebook IPO,CNN Wire,5/3/2012,550,NEW YORK (CNNMoney) -- Let's hope Mark Zuckerberg has deep pockets in his hoodie. The Facebook CEO plans to sell 30.2 million shares of his stake in the social network when it publicly offers its stock later this month. If the company's IPO ...,Facebook,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook's IPO details, Yahoo CEO's degree gaffe, and LinkedIn's big day",Contra Costa Times,5/3/2012,1877,"Today: Silicon Valley had the biggest business stories of the day Thursday, as Facebook priced its highly anticipated IPO, Yahoo ( YHOO) CEO Scott Thompson had to retract a claim of a computer science degree, and LinkedIn easily exceeded ...",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is Facebook IPO worth the risk?,Daily Messenger,5/3/2012,355,"As Facebook gets set to go public later this month, some are beginning to question whether the social networking giant is worth the investment.",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Selling Shareholders Offering 157.4M Class A Shares In IPO,Dow Jones News Service,5/3/2012,11,Facebook Selling Shareholders Offering 157.4M Class A Shares In IPO,Facebook,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook sets IPO share price at $28-$35,Gannett News Service,5/3/2012,411,By Matt Krantz USA TODAY Investors hungry for details on Facebook's hotly anticipated IPO got a tasty morsel Thursday when the company set the price for what will be one of the largest U.S. deals ever.,Facebook,Technology,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Sets IPO Range Of $28 To $35 Per Share,Investor's Business Daily,5/3/2012,280,"Facebook's initial public offering could bring in up to $11.8 billion, as the company late Thursday set its initial price range at $28 to $35.",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO faces global bear attack; Commentary: When hype meets reality,MarketWatch,5/3/2012,697,"SAN FRANCISCO (MarketWatch)É??No company wants to launch its public stock offering in a bad market, not even the wildly over-hyped Facebook. Yet for all his controls over the company and his almost one billion users, Mark Zuckerberg can't ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook sets terms, price range for IPO; Social network to sell 180 million shares at $28 to $35 each",MarketWatch,5/3/2012,926,"SAN FRANCISCO (MarketWatch) É?? Facebook Inc. plans to sell 180 million shares at a price range of $28 to $35 per share in its initial public offering, expected later this month.",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook sets terms, price range for IPO",MarketWatch,5/3/2012,255,"MARKETWATCH FRONT PAGE Social-networking giant plans to sell 180 million shares at between $28 and $35 each in its IPO, expected later this month, according to an updated filing.",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Sets IPO Pricing,MediaPost.com,5/3/2012,163,"Facebook has http://online.wsj.com/article/SB10001424052702304746604577382210530114498.html?mod=WSJ_hp_LEFTTopStoriesset the price range for its IPO at $28 to $35 a share, according to a new regulatory filing. That would mean the social ...",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report: Facebook IPO set for May 18,Montgomery Advertiser,5/3/2012,283,"Facebook will go public on May 18, a published report says, in one of the most highly anticipated tech initial public offerings since Google went public in August 2004.",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Sets $28 to $35 Price Per Share for IPO,National Journal,5/3/2012,50,"Facebook set a price range of $28 to $35 for its initial public offering of stock on Thursday, AP reported. That could raise?ˇas much as $11.8 billion -- higher than any other IPO, insluding Google's.",Facebook,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook Inc Sets IPO Range, Seeks $95 Billion Valuation-Reuters",Reuters,5/3/2012,101,"Date Announced: 20120503 Reuters reported that according to Wall Street Journal, Facebook Inc plans to price its initial public offering at a high-$20 to mid-$30 per-share range, granting the Company a valuation of as much as $95 billion. At ...",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary Box: Facebook IPO valued at up to $95B,SeattlePI.com,5/3/2012,286,"THE PRICE IS SET: Facebook set an expected price range of $28 to $35 per share Thursday for its initial public offering. BIG DEAL: Facebook's IPO would be the biggest ever for an Internet company. At the high end, Facebook and its current ...",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook looking for $85B to $95B value with IPO,Silicon Valley/San Jose Business Journal,5/3/2012,177,"Facebook Inc. is reportedly looking to set its price range for its upcoming IPO in the high-$20s to mid-$30s per share, according to a Wall Street Journal article on Thursday.",Facebook,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook targets IPO to raise up to $13.6B,Silicon Valley/San Jose Business Journal,5/3/2012,198,"Facebook Inc. set the price range for its IPO at between $28 and $35 per share, the company said in a regulatory filing Thursday. That could raise up to $13.6 billion for the company and shareholders. It would also value the Menlo Park ...",Facebook,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is Facebook IPO worth the risk?,The MetroWest Daily News,5/3/2012,220,"NEWYORK - As Facebook gets set to go public later this month, some are beginning to question whether the social networking giant is worth the investment.",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook seeks up to $11.8 billion in IPO,The News & Observer,5/3/2012,548,"NEW YORK É?? Facebook Inc., the world's most popular social-networking site, is seeking up to $11.8 billion in its initial public offering, the largest on record for an Internet company.",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook's IPO details, Yahoo CEO's degree gaffe, and LinkedIn's big day",The Oakland Tribune,5/3/2012,1865,"Today: Silicon Valley had the biggest business stories of the day Thursday, as priced its highly anticipated IPO, ( ) CEO Scott Thompson had to retract a claim of a computer science degree, and LinkedIn easily exceeded analysts' earnings ...",Facebook,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook To Set IPO Price Range At High-$20s To Mid-$30s Per Shr - Sources,The Wall Street Journal,5/3/2012,16,WSJ: Facebook To Set IPO Price Range At High-$20s To Mid-$30s Per Shr - Sources,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO To Seek $85 Billion To $95 Billion Value -Sources WSJ Facebook Sets IPO Price Range At $28 To $35 A Share,The Wall Street Journal,5/3/2012,834,"--Facebook planning IPO price range in high-$20s to mid-$30s a share, say people familiar with the matter --Pricing will put social network on track to become the most valuable U.S. Web company at time of an IPO",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook's IPO,The Wall Street Journal,5/3/2012,35,"Read about the major stakeholders and how much they own, explore the IPO filing, see the company's history and track the performance of other tech companies since they went public.",Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Price Range Set Facebook IPO: Price Range Set,The Wall Street Journal,5/3/2012,90,By Jamie Heller These headlines are moving on Facebook's pricing:,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Price Range Set,The Wall Street Journal,5/3/2012,99,,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Price Range Set High-$20s to Mid-$30s,The Wall Street Journal,5/3/2012,196,By David Benoit These headlines are moving on Facebook's pricing:,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO: Lower Valuation Looks for Pop,The Wall Street Journal,5/3/2012,319,By Anupreeta Das and David Benoit,Facebook,Technology,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
