,Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,neutral,weakneg,weakpos,strongpos,strongneg
21,On Eve of Alibaba IPO  Big Internet Stocks Slump,Barron's,9/17/2014,720,Big Internet stocks are hurting. Perhaps institutions are raising cash to buy into the Alibaba initial public offering later this week  or perhaps there's another force at work  but whatever the reason  we can glean clues about leadership ...,Alibaba,Technology,1,4,1,3,2,0,1,2
22,Alibaba's IPO to rock NYSE today,Boston Herald,9/19/2014,395,Shares of Alibaba Group Holding will start trading today on the New York Stock Exchange after the Chinese e-commerce juggernaut yesterday priced its initial public offering at $68 per share â the high end of its expected range â to raise ...,Alibaba,Technology,2,6,2,2,0,0,0,0
23,Investment Bankers Believe Alibaba Will Be Largest IPO of All Time According to BDO USA  LLP,Business Wire,7/15/2014,746,Alibaba IPO to Impact Other China-based Offerings and Yahoo! ,Alibaba,Technology,1,3,3,0,0,1,0,0
24,Yahoo rakes in jackpot from Alibaba's IPO,Centre Daily Times,9/19/2014,494,,Alibaba,Technology,2,6,4,0,0,0,0,0
25,Alibaba IPO Could Fuel Acquisitions of U.S. Startups,CFO.com,9/8/2014,395,As the Chinese e-commerce giant embarks on its roadshow  speculation begins over what it will do with the $21 billion in capital it could raise.,Alibaba,Technology,1,2,2,8,0,0,0,0
26,Chinese e-commerce giant Alibaba gears up for U.S. IPO,Charleston Gazette,3/17/2014,522,HONG KONG - Chinese e-commerce giant Alibaba Group said Sunday that it will go public on a U.S. stock exchange in a move analysts say might raise up to $15 billion in the year's biggest initial public offering.,Alibaba,Technology,1,2,4,6,0,0,0,0
27,MONDAY MOVERS; ALIBABA PLANNINGLARGEST IPO EVER,Chicago Sun-Times,9/8/2014,1989,New Dollar General bid nixed Family Dollar is rejecting Dollar General's latest acquisition offer  and Dollar Tree says it will now divest as many stores as needed to get antitrust clearance for its deal to buy Family Dollar.,Alibaba,Technology,1,2,2,2,0,0,1,3
28,Little-known giant to go public on Wall St. Debut of Alibaba may be biggest tech...,Chicago Tribune,4/17/2014,533,,Alibaba,Technology,1,5,1,2,2,0,0,0
29,Alibaba aims to raise $1B in IPO,Chicago Tribune,5/7/2014,147,Alibaba will seek to raise $1 billion in what could become the largest technology debut in history  the Chinese e-commerce and payments giant said Tuesday in a filing for its eagerly anticipated initial public offering.,Alibaba,Technology,1,4,1,4,0,0,1,0
30,Alibaba already building presence in U.S. Web giant  readying IPO  owns pieces of Silicon Valley firms Alibaba already building presence in U.S. Web giant  readying IPO  owns pieces...,Chicago Tribune,5/8/2014,515,Alibaba may be making its debut on Wall Street this summer  but it's no stranger to the investors of Silicon Valley. In the past 18 months  the Chinese e-commerce giant has burrowed its way into Silicon Valley's exclusive investment circles  ...,Alibaba,Technology,1,5,1,8,2,0,1,0
31,Alibaba's IPO papers warn about conflicts E-commerce mogul likely faces...,Chicago Tribune,5/9/2014,564,,Alibaba,Technology,1,6,1,2,0,0,0,2
32,Alibaba's IPO papers warn about conflicts E-commerce mogul likely faces questions about his holdings Alibaba's IPO papers warn about conflicts E-commerce mogul likely faces...,Chicago Tribune,5/9/2014,565,Partway through Alibaba's long-awaited initial public offering prospectus was a subtle  but striking  warning: Investors should know that lead founder and Executive Chairman Jack Ma might work against the company's best interests.,Alibaba,Technology,1,6,1,10,1,4,3,6
33,IPO bodes well for Alibaba,Chicago Tribune,5/23/2014,128,Shares of Chinese e-commerce firm JD.com soared 10 percent in their U.S. market debut as investors sought a piece of the country's booming online retail market  auguring well for Alibaba's hotly anticipated mega-float.,Alibaba,Technology,1,6,1,2,0,0,4,0
34,After a big IPO  stocks often falter Alibaba already is so popular  it will be hard to keep its share price rising,Chicago Tribune,9/19/2014,1111,If history is any guide  investors who miss out on getting a slice of Alibaba's massive initial public offering may want to think twice about jumping into the stock once it hits the New York Stock Exchange.,Alibaba,Technology,2,6,1,8,2,2,2,3
35,Alibaba's IPO will be in NYC,China Daily-US Edition,3/17/2014,1104,Alibaba Group Holding Ltd's announcement that it will end months of market speculation by choosing New York over Hong Kong for what would be the largest US initial public offering ever by a Chinese company has sent shockwaves across the US ...,Alibaba,Technology,1,2,4,4,0,0,0,0
36,Alibaba IPO could be the biggest ever,China Daily-US Edition,4/29/2014,908,Sometime soon  perhaps in a few days  Chinese e-commerce giant Alibaba Group Holding will file for an initial public offering that could be the largest ever.,Alibaba,Technology,1,3,4,7,0,0,0,0
37,Alibaba IPO has Wall Street 'eager' to get in on action,China Daily-US Edition,8/27/2014,772,Perhaps its brand already has had an impact in the US and globally  but China's e-commerce giant Alibaba Group will certainly deepen it even further when it lists on the New York Stock Exchange (NYSE) - reportedly - sometime after Labor Day ...,Alibaba,Technology,1,4,4,7,0,2,2,0
38,Alibaba's IPO likely one for the record books,China Daily-US Edition,9/8/2014,657,Alibaba Group Holding Ltd  the e-commerce company whose fortunes have surged along with China's economy  plans a US initial public offering that may also claim the global record.,Alibaba,Technology,1,2,4,4,0,0,2,0
39,Alibaba kicks off IPO global roadshow in NY,China Daily-US Edition,9/9/2014,719,Founder meets with hundreds of investors at Waldorf Astoria China's e-commerce giant Alibaba Group on Monday kicked off its 10-day international roadshow to pitch investors prior to its expected record-breaking initial public offering (IPO) ...,Alibaba,Technology,1,3,4,2,0,0,0,0
40,Alibaba IPO a caveat for regulators,China Daily-US Edition,9/18/2014,783,After its initial public offering (IPO) on New York Stock Exchange  Alibaba is expected to become the third-biggest Internet company listed in the United States in terms of market value. Although Alibaba's IPO is expected to fetch between ...,Alibaba,Technology,1,5,4,0,2,0,0,0
41,Alibaba keeps analysts bullish month after IPO,China Daily-US Edition,10/17/2014,736,Nearly a month after a successful initial public offering (IPO) on the New York Stock Exchange  shares of Alibaba Group Holding Ltd (BABA) are trading below the first-day closing price and analysts cite general market weakness for the ...,Alibaba,Technology,2,6,4,0,2,2,2,0
42,Trade talk suggests Alibaba IPO could hit $150B,Clarion-Ledger,8/28/2014,675,,Alibaba,Technology,1,5,4,2,0,2,0,0
43,For Yahoo  Alibaba IPO means shot at top again,Clarion-Ledger,9/9/2014,435,,Alibaba,Technology,1,3,4,2,0,2,0,0
44,Alibaba's IPO debut roars,Clarion-Ledger,9/20/2014,641,,Alibaba,Technology,2,7,4,0,0,0,0,0
45,Alibaba shares slip 4.3% after its huge IPO,Clarion-Ledger,9/23/2014,301,,Alibaba,Technology,2,3,4,2,0,0,0,0
46,China's Alibaba picks U.S. for IPO,CNN Wire,3/17/2014,394,Update 3/17: Adds correction about Facebook and profits. NEW YORK (CNNMoney) -- Chinese internet giant Alibaba will make its market debut in the United States.,Alibaba,Technology,1,2,3,2,0,1,0,0
47,China is the real winner from Alibaba IPO,CNN Wire,9/22/2014,576,On Monday  Alibaba confirmed the IPO raised $25 bn after the sale of the extra shares. Many of the big gains from the IPO though will accrue to China  not the U.S.,Alibaba,Technology,2,2,3,4,0,1,1,0
48,Yahoo rakes in jackpot from Alibaba's IPO,Columbus Ledger-Enquirer (GA),9/19/2014,494,,Alibaba,Technology,2,6,4,0,0,0,0,0
49,Alibaba plans IPO that could break Facebook's record  Yahoo shares jump Alibaba plans IPO that could break Facebook's record  Yahoo shares jump,Contra Costa Times,3/17/2014,741,Alibaba plans to hold its initial public offering -- which could be the largest ever for a technology company -- in the United States  and Yahoo is already reaping rewards from its early investment in the Chinese powerhouse  with the ...,Alibaba,Technology,1,2,4,6,0,0,1,2
50,Social media reaction: Reaction: Online commerce giant Alibaba files IPO,Contra Costa Times,5/6/2014,75,Observers around the San Francisco Bay Area and beyond weighed in Tuesday on the Chinese company's S-1 paperwork Tuesday afternoon -- the largest tech public offering since Facebook in 2012.,Alibaba,Technology,1,3,4,6,0,0,0,0
51,Alibaba IPO to heat up market for Box  Lending Club,Contra Costa Times,9/5/2014,1245,,Alibaba,Technology,1,6,4,0,0,0,0,0
52,Yahoo gains as everyone wants a piece of Alibaba IPO,Contra Costa Times,9/12/2014,883,Today: Chinese e-commerce giant Alibaba says demand is so strong that it will end pre-orders of its stock early  as major stakeholder Yahoo stands to gain billions. Also  despite denial  eBay shares surge on rumor Google will buy large ...,Alibaba,Technology,1,6,4,6,4,7,4,1
53,Yahoo dips as investors cash in ahead of Alibaba IPO,Contra Costa Times,9/18/2014,1071,,Alibaba,Technology,1,5,4,0,0,0,0,0
54,Alibaba launches largest IPO in U.S. history  steps up as Silicon Valley...,Contra Costa Times,9/19/2014,1044,,Alibaba,Technology,2,6,4,0,0,0,0,0
55,Alibaba IPO won't rain money on Silicon Valley,Contra Costa Times,9/19/2014,863,,Alibaba,Technology,2,6,4,0,0,0,0,0
56,Riding Alibaba momentum  Bay Area IPO freeze ends,Contra Costa Times,10/3/2014,999,,Alibaba,Technology,2,6,4,0,0,0,0,0
57,Trade talk suggests Alibaba IPO could hit $150B,Courier-Post,8/28/2014,675,,Alibaba,Technology,1,5,4,2,0,2,0,0
58,For Yahoo  Alibaba IPO means shot at top again,Courier-Post,9/9/2014,435,,Alibaba,Technology,1,3,4,2,0,2,0,0
59,Alibaba's IPO debut roars,Courier-Post,9/20/2014,641,,Alibaba,Technology,2,7,4,0,0,0,0,0
60,Alibaba shares slip 4.3% after its huge IPO,Courier-Post,9/23/2014,301,,Alibaba,Technology,2,3,4,2,0,0,0,0
61,Alibaba post-IPO spending targets NY; City's e-commerce retailers could get access to voracious Chinese consumers,Crain's New York Business,5/12/2014,741,Alibaba  the Chinese online retailer whose upcoming initial public offering could value it at more than $100 billion  already has a small presence in New York e-commerce  with a stake in Manhattan-based art and antiques marketplace 1stdibs.,Alibaba,Technology,1,2,2,4,2,0,2,0
62,As Alibaba prepares for IPO  tech stocks retreat; Technology stocks get ditched...,Daily Commercial,5/9/2014,724,,Alibaba,Technology,1,6,4,0,1,0,0,0
63,ALIBABA IPO PUTS HEAT ON YAHOO,Daily Press,4/19/2014,1027,Yahoo's Marissa Mayer can't rely on Alibaba Group Holding to bail her out much longer  putting the onus on her to accelerate a sales rebound that's only getting started.,Alibaba,Technology,1,7,2,2,0,0,0,0
64,Alibaba soars up to 46% after record IPO  in volatile debut,Dallas Business Journal Online,9/19/2014,694,U.S. investors sent Alibaba Group Holding Ltd. shares briefly soared as much as 46 percent above its initial public offering price Friday morning  after the pricing of shares Thursday raised a record $21.8 billion.,Alibaba,Technology,2,6,4,2,0,1,0,2
65,3 things Amazon needs to watch out for with Alibaba's IPO 3 things Amazon needs to watch out for with Alibaba's IPO,Dallas Business Journal Online,9/17/2014,491,Much has been made of the potential threat Alibaba's initial public offering could present to Amazon this week  but how much does the Seattle-based Amazon really need to be concerned?,Alibaba,Technology,1,4,4,14,0,1,0,4
66,Alibaba IPO poses pivotal test for Yahoo CEO,Dallasnews.com,5/7/2014,654,SAN FRANCISCO â Yahoo CEO Marissa Mayer faces a $10 billion decision in a few months. The pivotal moment will come when the Chinese e-commerce leader Alibaba Group completes its initial public offering of stock â an enormous deal that ...,Alibaba,Technology,1,4,4,4,2,0,1,0
67,Alibaba seeks $21.1 billion in record-breaking U.S. IPO,Dallasnews.com,9/5/2014,549,Sept. 5 â Alibaba Group Holding Ltd. is seeking to raise as much as $21.1 billion in its initial public offering  in what could be the largest sale of new stock in the U.S. ever.,Alibaba,Technology,1,6,4,4,0,0,0,0
68,Alibaba's record-setting IPO a windfall for Yahoo,Dallasnews.com,9/19/2014,487,SAN FRANCISCOÂ  â Yahoo is making amends for years of blundering with one smart move: an early investment in Alibaba Group that has turned into a multibillion-dollar boon.,Alibaba,Technology,2,6,4,0,0,2,2,2
69,Trade talk suggests Alibaba IPO could hit $150B,Democrat & Chronicle,8/28/2014,677,,Alibaba,Technology,1,5,4,2,0,2,0,0
70,For Yahoo  Alibaba IPO means shot at top again,Democrat & Chronicle,9/9/2014,438,,Alibaba,Technology,1,3,4,2,0,2,0,0
71,Alibaba's IPO debut roars,Democrat & Chronicle,9/20/2014,642,,Alibaba,Technology,2,7,4,0,0,0,0,0
72,Alibaba shares slip 4.3% after its huge IPO,Democrat & Chronicle,9/23/2014,302,,Alibaba,Technology,2,3,4,2,0,0,0,0
73,Alibaba IPO Filing Leaves Many Questions Unanswered,Dow Jones News Service,5/7/2014,1200,As Alibaba Group Holding Ltd. prepares for what might be one of the biggest initial public offerings in history  it faces the challenge of convincing investors it will be a good buy.,Alibaba,Technology,1,4,3,2,1,1,3,0
74,Alibaba's Results Improve Ahead of IPO,Dow Jones News Service,8/27/2014,912,Alibaba Group Holding Ltd. reported a surge in revenue and earnings for its latest quarter  driven in part by increased activity on mobile devices  though its profit margin narrowed.,Alibaba,Technology,1,4,3,2,0,2,1,0
75,Alibaba IPO Will Have 'Friends And Family' Share Program,Dow Jones News Service,9/5/2014,840,Alibaba Group Holding Ltd. is planning to let employees and other people close to the Chinese e-commerce buy some shares in its impending initial public offering  people familiar with the matter said.,Alibaba,Technology,1,6,3,2,0,0,0,2
76,Alibaba to Set IPO Price Range at $60-$66 A Share,Dow Jones News Service,9/5/2014,417,Chinese e-commerce giant Alibaba Group Holding Ltd. is expected to set the price range of its initial public offering at $60 to $66 a share  according to a person familiar with the matter  valuing the company at about $160 billion at the ...,Alibaba,Technology,1,6,3,4,0,1,2,0
77,Survey Says: Investors Getting Cautious Ahead of Alibaba IPO,Dow Jones News Service,9/15/2014,382,Alibaba Group Holding Inc. appears likely to raise the price range of its highly anticipated initial public offering  a development that is making some investors nervous about how the stock will trade as a newly minted public company  ...,Alibaba,Technology,1,2,3,4,2,0,0,1
78,Alibaba Set To Raise IPO Price Range to $66 to $68 Per Share -- Source,Dow Jones News Service,9/15/2014,268,Alibaba Group Holding Ltd. plans to raise the price range for its initial public offering to $66 to $68 per share  from the current $60 to $66 a share  a person familiar with the deal said.,Alibaba,Technology,1,2,3,2,0,0,1,0
79,Alibaba IPO Priced At $68 a Share  Top of Range  Source Says,Dow Jones News Service,9/18/2014,51,Alibaba Group Holding Ltd.'s shares priced Thursday at $68 in what is expected to be one of the world's largest initial public offerings ever  according to a source familiar with the situation.,Alibaba,Technology,1,5,3,2,0,3,0,0
80,Alibaba IPO to Give Yahoo Windfall,Dow Jones News Service,9/19/2014,565,Alibaba Group Holding Ltd.'s initial public offering on Friday will make Yahoo Inc. about $5.1 billion richer. That's the amount of cash Yahoo stands to receive after selling 121.7 million of its shares in the e-commerce giant and paying a ...,Alibaba,Technology,2,6,3,2,0,2,0,0
81,Alibaba IPO Feels Like Missed Opportunity for Many in China,Dow Jones News Service,9/19/2014,1087,As Chinese e-commerce giant Alibaba Group Holding Ltd. moved toward a massive initial public offering in New York  back home in China the question was: Would Alibaba founder and chairman Jack Ma leave the country?,Alibaba,Technology,2,6,3,10,2,0,0,0
82,Goldman Sachs Named 'Stabilization Agent' for Alibaba IPO Goldman Sachs named âstabilization agent' for Alibaba IPO,Dow Jones News Service,9/3/2014,153,Goldman Sachs Group Inc. has landed a key role in Alibaba Group Holding Ltd.'s upcoming initial public offering as the bank in charge of overseeing the deal's early share trading  people familiar with the matter said.,Alibaba,Technology,1,4,3,4,0,0,1,0
83,Alibaba IPO Is a Bonanza for Select Firms Alibaba IPO is a bonanza for select firms,Dow Jones News Service,9/15/2014,988,The initial public offering of Alibaba Group Holding Ltd. this week will be a windfall for a group of previously undisclosed investors who snapped up preferred shares in the Chinese e-commerce company that were sold in the run-up to its ...,Alibaba,Technology,1,2,3,2,0,0,0,0
84,Alibaba's IPO Priced at $68 a Share Alibaba's IPO prices at $68 a share,Dow Jones News Service,9/18/2014,947,Alibaba Group Holding Ltd.'s shares priced Thursday at $68  at the high end of expectations  in what is one of the world's largest initial public offerings ever.,Alibaba,Technology,1,5,3,4,0,0,0,0
85,Alibaba's 1% Fee for Bankers Among Lowest for Internet IPO -- Sources -- 2nd Update Alibaba to Pay Underwriters 1% of U.S. IPO as Base Fee; Fees May Be Smallest in U.S. Since Facebook's IPO,Dow Jones News Service,3/28/2014,765,The fees for bankers handling Alibaba Group Holding Ltd.'s initial public offering indicate just how big a trophy deal it is: As a percentage of the sum raised  they may be the smallest in the U.S. since Facebook Inc.'s IPO a couple of ...,Alibaba,Technology,1,6,3,2,0,0,3,0
86,Alibaba IPO Has Unusual Challenges for Bankers Alibaba IPO Has Unusual Challenges for Bankers; A Chinese Company  Incorporated...,Dow Jones News Service,8/11/2014,1044,As Alibaba Group Holding Ltd. heads toward what could be the biggest-ever initial public offering  its bankers are homing in on one of their biggest challenges: keeping the shares aloft once they start trading.,Alibaba,Technology,1,2,3,2,7,0,0,0
87,Hong Kong Exchange Considers Rule Change After Losing Alibaba IPO Hong Kong Exchange Considers Rule Change After Losing Alibaba IPO; Some Chinese...,Dow Jones News Service,8/29/2014,521,HONG KONG--Hong Kong's stock exchange is exploring a rule change  months after its refusal to budge on the issue of equal voting rights for shareholders cost it the lucrative initial public offering of e-commerce giant Alibaba Group Holding ...,Alibaba,Technology,1,6,3,4,0,2,2,4
88,China's Alibaba files for U.S. IPO,Florida Today,5/7/2014,415,,Alibaba,Technology,1,4,4,0,0,0,0,0
89,Trade talk suggests Alibaba IPO could hit $150B,Florida Today,8/28/2014,677,,Alibaba,Technology,1,5,4,2,0,2,0,0
90,For Yahoo  Alibaba IPO means shot at top again,Florida Today,9/9/2014,438,,Alibaba,Technology,1,3,4,2,0,2,0,0
91,Alibaba's IPO debut roars,Florida Today,9/20/2014,642,,Alibaba,Technology,2,7,4,0,0,0,0,0
92,Alibaba shares slip 4.3% after its huge IPO,Florida Today,9/23/2014,302,,Alibaba,Technology,2,3,4,2,0,0,0,0
93,Alibaba To Wait Until After U.S. Labor Day To Launch IPO  Xinhua Says,Forbes,7/20/2014,72,Chinese e-commerce industry leader Alibaba Group has decided to hold its IPO after the U.S. Labor Day holiday after Sept. 1 instead of late July as originally planned  China's state media reported. The offering  which may be the world's ...,Alibaba,Technology,1,1,1,1,0,0,0,0
94,Alibaba Pumps IPO Enthusiasm With Huge Profit Jump,Forbes,8/27/2014,21,The Alibaba IPO express rolls on  faster and faster.,Alibaba,Technology,1,4,1,2,0,1,1,0
95,Alibaba's Profit  Mobile Business Soaring Ahead Of IPO,Forbes,8/27/2014,69,Alibaba Group  the Chinese e-commerce leader en route to what may be the largest public offering in history  saidÂ todayÂ net profit nearly tripled in the three months ending in June from a year earlier to $1.99 billion. A 46% gain in total ...,Alibaba,Technology,1,4,1,0,0,2,1,0
96,Alibaba Plans To Raise As Much As $24 Billion In Biggest U.S. IPO Ever,Forbes,9/5/2014,35,,Alibaba,Technology,1,6,1,2,0,0,0,0
97,As Alibaba's IPO Approaches  Founder Jack Ma Pens Letter To Potential Investors,Forbes,9/5/2014,37,The influential Alibaba chairman and founder penned a letter to potential investors ahead of the company's record-setting IPO.,Alibaba,Technology,1,6,1,0,0,2,4,0
98,Alibaba Boosts IPO Price Range  Could Raise Up To $25 Billion,Forbes,9/15/2014,34,Alibaba now expects its IPO shares to price between $66 to $68 due to high demand from potential investors.,Alibaba,Technology,1,2,1,4,0,1,1,0
99,Alibaba's Billion-Dollar Winners: Who's Selling In The Biggest IPO Ever,Forbes,9/17/2014,38,Alibaba Chairman Jack Ma and Yahoo are going to have big paydays when the Chinese online retailing giant finally goes public.,Alibaba,Technology,1,4,1,6,0,0,0,0
100,Alibaba Prices Shares At $68 In Largest US IPO Ever,Forbes,9/18/2014,36,Alibaba is locked and loaded for its public listing  which many expect will happen on Friday on the New York Stock Exchange.,Alibaba,Technology,1,5,1,0,0,0,0,0
101,Alibaba Live Blog: Tracking The Biggest IPO In History,Forbes,9/19/2014,22,,Alibaba,Technology,2,6,1,0,0,0,0,0
102,Alibaba Claims Title For Largest Global IPO Ever With Extra Share Sales,Forbes,9/22/2014,32,At $25 billion  Alibaba's initial public offering can be called the largest global IPO ever.,Alibaba,Technology,2,2,1,0,0,0,0,0
103,Alibaba's Record-Setting IPO,Forbes,9/22/2014,33,"The Chinese e-commerce giant raised $21.8 billion in its IPO and listed on the NYSE. Music: ""Now or Never"" by Pim Phillips",Alibaba,Technology,2,2,1,2,0,0,0,0
104,Alibaba IPO Led $37B Third Quarter  But Cracks Starting To Show,Forbes,10/7/2014,32,Alibaba's massive offering headlined a banner quarter for IPOs  but broader market malaise could soften demand.,Alibaba,Technology,2,3,1,4,0,1,0,1
105,Alibaba Reports 54% Sales Growth In First Earnings Report Since IPO,Forbes,11/4/2014,37,Alibaba Group reported earnings for the first time as a public company on Tuesday  exceeding analyst expectations on net profit and sales.,Alibaba,Technology,2,3,1,2,0,1,1,0
106,Alibaba Plans To Raise As Much As $24 Billion In Biggest U.S. IPO Ever Alibaba Plans To Raise As Much As $24 Billion In Biggest U.S. IPO Ever,Forbes,9/5/2014,35,Chinese e-commerce giant will be worth about $163 billion if shares are priced at $66.,Alibaba,Technology,1,6,1,6,0,0,1,0
107,Alibaba Live Blog: Tracking The Biggest US IPO In History Alibaba Live Blog: Tracking The Biggest IPO In History,Forbes,9/19/2014,23,Chinese e-commerce powerhouse Alibaba begins trading on Friday.,Alibaba,Technology,2,6,1,0,0,0,0,0
108,Trade talk suggests Alibaba IPO could hit $150B,Fort Collins Coloradoan,8/28/2014,675,,Alibaba,Technology,1,5,4,2,0,2,0,0
109,For Yahoo  Alibaba IPO means shot at top again,Fort Collins Coloradoan,9/9/2014,435,,Alibaba,Technology,1,3,4,2,0,2,0,0
110,Alibaba shares slip 4.3% after its huge IPO,Fort Collins Coloradoan,9/23/2014,301,,Alibaba,Technology,2,3,4,2,0,0,0,0
111,New York flexes IPO muscle with Alibaba IPO deal,Gannett News Service,3/17/2014,569,Matt Krantz  USA TODAY Chinese Internet company Alibaba is launching its IPO in New York  underscoring the USA's standing as the global hub of the new stock boom.,Alibaba,Technology,1,2,3,0,0,0,1,0
