,Text,Label,Label180
18,"Facebook Inc. generated about $557 million in revenue from its payments business last year, according to its S-1 filing. The social networking giant filed its Initial Public Offering this week. In its filing, the company finally made clear ...",Negative,Negative
19,"It's the assignment that got away that has done as much to shape Fenwick & West as any other. Fenwick lawyers incorporated Steve Jobs and Steve Wozniak's Apple Computer Inc. in 1976, after a partner's sister referred the pair to the ...",Negative,Negative
20,Facebook Inc. shares began trading on the Nasdaq Stock Market on May 18 after an $18.4 billion initial public offering that put a value of $104 billion on the social network and made Facebook the largest U.S. company ever at the time of its ...,Negative,Negative
21,Organisation: Facebook Description: Facebook continues its Initial Public Offering (IPO) roadshow in a bid to draw in investors before its shares reportedly debut on the NASDAQ on 18 May. IPO roadshows can last up to two weeks and provide ...,Negative,Negative
22,"Findings Show Americans Are Mixed On Whether Facebook Is A Good Investment 
 
A Majority Of Facebook Users Do Not Trust The Social Networking Site With Their Personal Information, Never Click On Advertising And Would Not Feel Safe Making ...",Negative,Negative
23,"Organisation: Facebook Description: Facebook reportedly continues its IPO roadshow in a bid to draw in investors before its shares reportedly debut on the NASDAQ on 18 May. Today's stops are in Kansas City, MO and Denver, with founder Mark ...",Negative,Negative
24,"Organisation: Facebook Description: 1st anniversary of Facebook pricing its shares as part of its Initial Public Offering at between $23 and $35 per share, putting the total value of the company at up to $96bn (Â£59bn), the highest debut on ...",Negative,Negative
25,"Organisation: Facebook Description: Facebook shares recommence trading on NASDAQ for the final day this week, after making the highest debut on record for an internet company exactly two weeks ago with a float price of $38. The share price ...",Negative,Negative
26,Organisation: Facebook Description: Facebook shares recommence trading this morning as NASDAQ announces plans to compensate investors who lost out following a technical glitch when Facebook listed on 18 May. The value of Facebook's shares ...,Negative,Negative
27,"Organisation: Facebook Description: Facebook shares recommence trading on NASDAQ for final day this week, after seeing their value fall since the social networking company debuted on 18 May with a float price of $38. The share price ended ...",Negative,Negative
29,"STOCK GOING PUBLIC NEW YORK â€” Facebook founder Mark Zuckerberg turns up at business conventions in a hoodie. ""Cocky"" is the word used to describe him most often, after ""billionaire."" He was Time's person of the year at 26.",Negative,Negative
30,"""Simply put: We don't build services to make money; we make money to build better services."" Mark Zuckerberg SAN FRANCISCO â€” For all the huge numbers in Facebook's IPO papers, a surprisingly small figure stands out: $4.39, the amount the ...",Negative,Negative
31,"Facebook, the company that turned the Web social, has set a price range for an initial public offering of stock that values the company at up to $95 billion.",Negative,Negative
32,Hoping to get in on Facebook's hotly anticipated public stock offering? You will need Facebook friends at very high levels â€” or a lot of money.,Negative,Negative
33,"All good things must come to an end, and so it is with SecondMarket Inc.'s four-year run as the biggest private market for buyers and sellers of Facebook Inc. shares.",Negative,Negative
34,"NEW YORK â€” While Facebook's initial public offering Friday had all of Wall Street abuzz, its 900 million users had other things on their minds. They were busy sharing with the world their thoughts about the presidential election, Haitian ...",Negative,Negative
35,Two congressional panels are reviewing Facebook's high-profile stock offering last week amid allegations that the bank handling the IPO may have provided only select clients with a negative assessment of the company.,Negative,Negative
36,"Ryan Cefalu, who lives with his wife and two kids in Baton Rouge, La., saw in Facebook Inc.'s much-anticipated initial public offering a chance to buffer his retirement fund. His expectations fizzled along with the stock within the first ...",Negative,Negative
37,"NEW YORK â€” It's been a month since Facebook's IPO fell flat and in that time, the market for initial public offerings has collapsed. No company has gone public since May 18, compared with 19 in the same period a year ago. Fourteen offerings ...",Negative,Negative
39,"By Jon Swartz, Scott Martin and Matt Krantz, | USA TODAY Facebook today filed to go public in a bid to raise $5 billion with a mammoth stock offering .",Negative,Negative
40,"By MICHAEL LIEDTKE, | AP Technology Writer Facebook is baring its business soul. The unveiling came late Wednesday when the company that depends on people to share their lives online filed its plans to raise $5 billion in an initial public ...",Negative,Negative
42,"NEW YORK â€” Don't let the hoodie and sneakers fool you. Mark Zuckerberg is no wet-behind-the-ears CEO. Facebook's chief executive turns 28 on Monday, setting in motion the social network's biggest week ever. The company is expected to start ...",Negative,Negative
43,CHICAGO â€” Hoping to get in on Facebook's hotly anticipated public stock offering? You'll need Facebook friends at very high levels â€” or a lot of money.,Negative,Negative
44,"NEW YORK â€” Almost four years after the financial crisis, Wall Street still can't get it right. Investor anger mounted Wednesday over the initial public offering of Facebook stock last week, which was fumbled by the banks that managed the ...",Negative,Negative
45,"WASHINGTON â€” Regulators are examining whether Morgan Stanley, the investment bank that shepherded Facebook through its highly publicized stock offering last week, selectively informed clients of an analyst's negative report about the ...",Negative,Negative
46,"There will be investigations and already there are lawsuits over the rollout of Facebook's recent overhyped IPO, but no investigation is necessary into the reason for the outrage over the stock's rapid fall. It's called human nature.",Negative,Negative
47,Deep in the Facebook IPO hype something very interesting is happening â€” everyone who is a minor is getting a math lesson. Children who are barely middle schoolers through high schoolers are asking their parents to invest in Facebook stock or ...,Negative,Negative
48,"Earlier this week, I attempted to get Facebook to let me hang out at its newish Midtown Atlanta offices, as the social networking giant became history's third largest IPO.",Negative,Negative
49,"Facebook Inc. filed for a $5 billion initial public offering Wednesday, saying it plans to use the ticker symbol FB. For a company that knows a great deal about its users, here are some of the details Facebook divulged about its own ...",Negative,Negative
50,"A scrapbook of trivia about the soon-to-be-public company Mark Zuckerberg's base salary is $500,000. ""Effective January 1, 2013, Mr. Zuckerberg's annual base salary will be reduced to $1.""",Negative,Negative
51,"Today, after much anticipation, Facebook filed the paperwork for its initial public stock offering, expected to result in a market valuation somewhere between $75 billion and $100 billion. And while those numbers raise eyebrows for being ...",Negative,Negative
52,"You know who is happy about Facebook's IPO, aside from its investors and fanboys? The state of California. The Golden State has been plagued by bad news about its budget, but a new estimate from the state of California's ...",Negative,Negative
55,"With new public stock offerings for guitar maker Fender and travel booking Web site Kayak on deck next week, there are signs demand is starting to grow for IPOs after a five-week freeze triggered by a steep decline in financial markets and ...",Negative,Negative
57,"Accel Partners, Greylock Partners and Meritech Capital â€” Facebook's venture capital firms â€” will likely get first dibs on promising deals for years to come thanks to the social media site's pending IPO.",Negative,Negative
58,"Nasdaq OMX Group CEO Robert Greifeld said design problems with Nasdaq's technology were to blame for  the stock exchange's missteps during Facebook's IPO on Friday, ABC News reports.",Negative,Negative
59,A high-ranking Nasdaq official reportedly said Tuesday that the exchange wouldn't have gone forward with Facebook Inc.'s public offering had it known in advance of the technical problems it faced.,Negative,Negative
60,"Social media giant Facebook has amended the filing for its much anticipated, widely chewed-over initial public offering, the Boston Business Journal reports. Under the amendment, the filing could give the company more than $100 billion in ...",Negative,Negative
61,"Baltimore money manager T. Rowe Price Group Inc. is among the principal stockholders in Facebook, according to the social network's  $5 billion initial public offering filed Wednesday.",Negative,Negative
62,"The Securities and Exchange Commission (SEC)  filed charges Wednesday against two money managers, accusing them of charging undisclosed fees and misleading investors of funds formed to buy pre-IPO shares of Facebook, Twitter and other ...",Negative,Negative
63,T. Rowe Price Group Inc.'s stake in Facebook is worth as much as $637 million going into the social network's May 18 initial public offering.,Negative,Negative
64,"Signaling that investor demand is exceptionally strong for Facebook, the world's largest online social network Thursday  set its initial public offering of stock at the high end of its expected range, at $38 per share.",Negative,Negative
65,"The day after Facebook's historic IPO on Nasdaq making it one of the most valuable companies in the U.S., CEO Mark Zuckerberg stunned friends -- both FB and real-life -- Saturday  by marrying his girlfriend of nearly a decade, 27-year-old ...",Negative,Negative
67,Last week's much-heralded Facebook IPO was supposed to be Morgan Stanley's crowning achievement.  It's turning out however to be a big embarrassment.,Negative,Negative
68,"Nasdaq  plans to make up some of the losses suffered by banks and trading firms over the botched initial public offering (IPO) by Facebook on the exchange, an unnamed source at the brokerage firm Nasdaq OMX Group Inc. revealed Tuesday.",Negative,Negative
69,"As Facebook files a motion to consolidate all the shareholder lawsuits against it,  the social networking website is expected to place some of the blame on Nasdaq, the New York Times and Reuters reported Thursday.",Negative,Negative
70,"Six initial public offerings seeking to raise $1.1billion -- including Manchester United, one of the world's most valuable sports brands -- are set to be put in place this week, the biggest IPO week since Facebook's over-touted offering in ...",Negative,Negative
71,"As Facebook's early backers got their first chance to sell off shares since the company's initial public offering went awry, the social networking leader's stock plunged to a new low Thursday, the New York Times reported.",Negative,Negative
72,The latest flap involving Facebook's IPO fiasco â€“ that a Morgan Stanley Internet analyst reportedly cut financial projections for the company just before the deal was priced last week â€“ highlights a little-known but longstanding practice ...,Negative,Negative
73,"To read the popular press, you'd think there was only one stock in the world, Facebook. And over the Memorial Day weekend, several friends who never chat about finance and markets wanted to talk about the ballyhooed and then busted initial ...",Negative,Negative
75,SAN FRANCISCO - The countdown to Facebook Inc.'s initial public stock offering has begun. The social networking giant is aiming to begin selling its stock to the public in May and is taking carefully choreographed steps to prepare for what ...,Negative,Negative
76,NEW YORK Facebook may command a valuation more than five times higher than Google as it seeks to raise $5 billion in the world's largest initial public offering of an Internet company.,Negative,Negative
77,Facebook Files IPO,Negative,Negative
78,"Facebook, Inc. is offering shares of its Class A common stock and the selling stockholders are offering shares of Class A common stock. We will not receive any proceeds from the sale of shares by the selling stockholders. This is our ...",Negative,Negative
79,View filing here.,Negative,Negative
80,"In a research report published today, Piper Jaffray concluded that Facebook could provide SINA Corporation (NASDAQ: SINA) with a potential floor to shares in the low $60 range.",Negative,Negative
81,"Despite all the media hype regarding the upcoming Facebook initial public offering (IPO), APM's Marketplace Radio on Monday provided just another reason to be skeptical regarding Facebook's IPO.",Negative,Negative
82,"Nancy Miller's new book, The Facebook IPO Primer, examines the company from a financial standpoint and offers valuable information to anyone considering investing in the social media giant. Miller spoke to Benzinga about her aims and ...",Negative,Negative
83,"After that, it's all downhill.Facebook (NASDAQ: FB), the company that has been called a dumping ground for venture capitalists -- the same company that would die without Microsoft (NASDAQ: MSFT) -- could be headed for hard times after its ...",Negative,Negative
84,"With Facebook expected to go public in May, all eyes are on the social network giant and most expect it to perform well. Not only that, but analysts are hoping that the Facebook IPO, obviously the biggest IPO in some time, will provide a ...",Negative,Negative
85,"According to reports, Facebook will begin its IPO roadshow next week. The roadshow will see the company pitching its shares to prospective investors. Facebook's IPO date could be later this month.",Negative,Negative
86,View filing here.,Negative,Negative
87,"Are retail traders excited for the Facebook IPO? Or do they secretly fear it?If you listen to the mainstream media, you'll be under the impression that Facebook's (NASDAQ: FB) initial public offering is slated to become the biggest of all ...",Negative,Negative
88,This weekend in Barron's online: the pros and cons of memory-foam mattresses and the prospects for Facebook's IPO and for aircraft maker Embraer and semiconductor testing equipment maker ChipMOS.,Negative,Negative
89,"Fifty-one percent, an AP-CNBC poll found. But half of Americans think the company's nearly $100 billion valuation is too high.Americans aren't the only ones who are rolling their eyes at Facebook's valuation. According to CNBC, nearly ...",Negative,Negative
90,"The much anticipated Facebook (NASDAQ: FB) IPO has seen significant delays this morning. Originally, shares were scheduled to begin trading at 11am. At 11, shares did not trade, and the Nasdaq announced that shares would have to be delayed ...",Negative,Negative
91,"It seems that all the hype in the world can't save Facebook (NASDAQ: FB) today.I wrote about this and other concerns just hours ago, noting that hype can backfire or have no affect at all on an IPO. That seems to be the case for Facebook, ...",Negative,Negative
92,"Rodman & Renshaw remains rated Outperform on Quepasa (NYSE: QPSA) and maintains its $7 price target on shares. Rodman & Renshaw notes, ""Today,Facebook (FB, Not Rated) is coming out with its own IPO. The company joins a host of other ...",Negative,Negative
93,"Facebook (NASDAQ: FB) shares closed today at a price of $38.18, close to the $38 price investors paid in its initial public offering (IPO). This closing price was around 9% lower than Facebook's publicly traded opening price of $42.05. ...",Negative,Negative
94,"Facebook (NASDAQ: FB) frenzy has swept the land. I obviously was not born when gold fever hit the California coast, but Facebook frenzy has to be very close in resemblance.Â  Just look at the creepy similarities:",Negative,Negative
95,"On the cusp of Facebook's (NASDAQ: FB) long-awaited IPO, analysts and investors continue to argue over the social network's potential success. But what are the real dangers? Why could Facebook end up a dud?Bearish analysts and bloggers ...",Negative,Negative
96,Nasdaq (NASDAQ: NDAQ) CEO Robert Greifeld said â€œpoor designâ€ in the exchange's software for initial public offerings was responsible for delaying Facebook's (NASDAQ: FB) launch. The Nasdaq's computer systems were overwhelmed by order ...,Negative,Negative
97,"This past Friday, shares of Facebook (NASDAQ: FB) began trading on public markets, opening their first day near $42.05 and closing much lower at $38.23. Today, shares declined even further, trading as much as 11% lower. This brings to mind ...",Negative,Negative
98,Being politically correct has never been my strongest quality; therefore I'll say this: I don't feel sorry for Facebook's new shareholders. Despite NASDAQ technical glitches and analysts sharing changes in estimates for the near quarter ...,Negative,Negative
99,"The biggest wave of IPOs since Facebook (NASDAQ: FB) went public is set to hit the U.S. markets this week. The reception to IPOs slowed in the second quarter in the wake of Facebook's lackluster market debut. New issues also were down, ...",Negative,Negative
100,"OLDWICK, N.J. (BestWire) - Jeff Grange, chairman of Torus Group's underwriting committee, speaks about what impact the Facebook initial public offering could have on the directors and officers insurance market and how difficult a transition ...",Negative,Negative
101,"Facebook is expected to file initial paperwork with regulators today for a $5 billion initial public offering. According to CNBC, the social networking site has hired five underwriters â€“ Morgan Stanley (NYSE: MS), Goldman Sachs (NYSE: GS), ...",Negative,Negative
102,"Facebook said it has priced its IPO at $38 a share, following four months of paperwork, hype and speculation. According to CNN, Facebook's IPO will raise $16 billion at that price and make it the largest tech IPO in history.",Negative,Negative
103,"In the middle of Facebook's 336-page, eyes-glaze-over filing of intentions to go public, there's some comic relief in the section listing the risk factors involved with investing in Facebook.",Negative,Negative
104,"While Facebook gears up for its  IPO road show, I'm thinking 10 years ahead, to a pitch I'm personally going to have to make: Explaining to a 12-year-old why it was a good idea to publish his baby pictures onto the Internet.",Negative,Negative
105,"Facebook Inc. brought its road show to Boston, Tuesday morning, but founder Mark Zuckerberg appears to be flying over Boston as Facebook tours the nation's investment hubs in its road show for what is expected to be the biggest Internet IPO ...",Negative,Negative
107,"Facebook's IPO has priced at $38 per share, the company reported in a  news release issued minutes after markets closed, Thursday. The pricing is  at the top of a range set at the beginning of this week by Facebook Inc., and values the ...",Negative,Negative
108,"Massachusetts Secretary of State William Galvin has subpoenaed Morgan Stanley over reports that the firm cut earnings estimates for Facebook shortly before the social network's widely hyped initial public offering, but only shared the lower ...",Negative,Negative
109,Boston-based Fidelity Investments is working with thousands of its brokerage clients affected by trading irregularities surrounding Facebook's (Nasdaq: FB) initial public offering last week. Some investors have found their orders for ...,Negative,Negative
110,"Boston Private's investment people  held off buying shares of Facebook (Nasdaq: FB) last week, concerned about the fundamentals of the company and how it planned to earn revenue. A week later, as regulators probe the actions of Facebook ...",Negative,Negative
111,"Kayak Software Corp. has decided to delay its initial public offering, after watching the disappointing Facebook IPO unfold, according to a report.",Negative,Negative
112,"Among the popular discussion topics this weekend at the Nantucket Conference: the poor share performance of Facebook (Nasdaq:FB), Groupon (Nasdaq:GRPN) and Zynga (Nasdaq:ZNGA) following their much-hyped IPOs.",Negative,Negative
113,"Blame for a disappointing Facebook Inc. (Nasdaq: FB) initial public offering has fallen on the Nasdaq stock exchange, the company's executives and its bankers â€“ but a new report has a Morgan Stanley banker reaching for and exerting unusual ...",Negative,Negative
114,"Facebook Inc. indicated Tuesday its IPO may swell, giving the company a valuation over $100 billion if the highly anticipated IPO prices at the top of its new range.",Negative,Negative
115,"Social media giant Facebook may not have been â€œcreated to be a company,â€ according to CEO Mark Zuckerberg, but it's closer to being a public one â€” with $3.7 billion in revenue and a billion in profit last year.",Negative,Negative
116,"Facebook executives are expected to give face time to would-be investors in the Hub today, ahead of what's expected to be the biggest Internet IPO ever.",Negative,Negative
117,"The fascination with Facebook appears to be fading fast with the â€œcoolâ€ crowd at the worst possible time as the social networking giant's nearly $13 billion IPO rolls out this week, like it or not.",Negative,Negative
118,"So the hysterically hyped public offering of Facebook disappointed millions on Friday who'd anticipated a blast-off to the moon. But millions more were thrilled by its ho-hum debut, including me.",Negative,Negative
119,Secretary of the Commonwealth William Galvin is â€œunfriendingâ€ Morgan Stanley over the Wall Street giant's handling of Facebook's cratering initial public offering.,Negative,Negative
120,"Good things could come to tech companies that aptly waited to price their initial public offerings post-Facebook, including Kayak Software Corp., which expects to ride â€œa current waveâ€ of investor interest in travel search companies, one ...",Negative,Negative
122,"Facebook Inc. has opened its books to eager investors, but some don't like what they see. Profit margins have been shrinking. Costs have been rising. And the stock structure means that founder Mark Zuckerberg controls 57 percent of the ...",Negative,Negative
123,"Facebook is going public â€” in a different way, having filed paperwork with the Securities and Exchange Commission. The goal of the initial public offering is to raise some $5 billion, which would make it the largest initial public offering ...",Negative,Negative
124,"Investors are clearly psyched to see Facebook go public, even though one of the nation's largest advertisers is backing off from the social network.",Negative,Negative
125,"Facebook Inc. sold its shares in its initial public offering Thursday afternoon at $38 a share, raising $16 billion in the biggest tech IPO in history.",Negative,Negative
126,A Lewis Center tech entrepreneur is publicly criticizing the federal appellate judges who rejected his lawsuit Tuesday against soon-to-be-public Facebook Inc. and is considering taking the case to the U.S. Supreme Court.,Negative,Negative
127,"If you had a big chunk of change you were ready to invest, would you plunk it down on Facebook Inc.? The fact that the ever-evolving, ever-growing social media site is expected to go public any day, possibly even today, has the business ...",Negative,Negative
128,"Facebook Inc. filed its much anticipated registration statement with the U.S. Securities and Exchange Commission late Wednesday, announcing plans to raise more than $5 billion through an initial public stock offering.",Negative,Negative
129,"Facebook Inc. filed its much anticipated registration statement with the U.S. Securities and Exchange Commission late Wednesday, announcing plans to raise more than $5 billion through an initial public stock offering.",Negative,Negative
130,"Facebook Inc. has set a price range of $28 to $35 for its planned initial public offering. As USA Today reported, the IPO could raise about $10.6 billion, based on the price range the company disclosed in a U.S. Securities and Exchange ...",Negative,Negative
131,Facebook Inc. CEO Mark Zuckerberg kicked off the company's roadshow in New York City Monday to promote its $10 billion initial public offering.,Negative,Negative
132,"The planned initial public offering for Facebook Inc. (NASDAQ: FB) shares has investors across the nation jockeying to buy the stock, which is rising in price.",Negative,Negative
133,"Facebook Inc. is boosting the number of shares for sale in its initial public offering by about 84 million, to 421 million shares, letting it raise as much as $16 billion, according to two people with knowledge of the deal.",Negative,Negative
134,"Last week's initial public offering of social media giant Facebook Inc.'s shares is drawing the attention of regulators and investors alike, after shares faltered following the much-anticipated IPO.",Negative,Negative
135,"While Facebook Inc.'s well-publicized problems with its initial public offering are in many ways unique, companies should take heed of some lessons from the company's experience, say observers.",Negative,Negative
136,"U.S., Feb. 1 -- The moment the tech world has been waiting for has arrived-Facebook has officially filed registration documents with the Securities and Exchange Commission for an initial amount of $5 billion.",Negative,Negative
137,"Research finds ""huge untapped potential"" in social advertising 
CAMBRIDGE, Mass.--(BUSINESS WIRE)--February 01, 2012-- With Facebook's initial public offering this week, the social networking giant can look ahead to a ...",Negative,Negative
138,"ST. LOUIS--(BUSINESS WIRE)--February 01, 2012--  Just days before Facebook plans to launch its Initial Public Offering (IPO) of stock to investors, the potential financial liability facing the company in a federal suit filed Korein Tillery ...",Negative,Negative
139,"BOSTON--(BUSINESS WIRE)--February 02, 2012--  2020 Women on Boards, a national campaign to increase the percentage of women on U.S. public company boards to 20% or greater by 2020 urges Facebook to take the 2020 Challenge: Put a women on ...",Negative,Negative
140,"BOSTON--(BUSINESS WIRE)--May 23, 2012--  The Facebook IPO is now the subject of a Securities Fraud Lawsuit filed in the United States District Court in New York. The complaint alleges that certain Facebook IPO documents contained untrue ...",Negative,Negative
141,"SAN FRANCISCO--(BUSINESS WIRE)--May 23, 2012--  The law firm of Lieff Cabraser Heimann & Bernstein, LLP announces that a class action lawsuit has been brought on behalf of all persons and entities who purchased the securities of ...",Negative,Negative
142,"NEW YORK--(BUSINESS WIRE)--June 12, 2012--  Finkelstein Thompson LLP, Lovell Stewart Halebian Jacobson LLP and Zamansky & Associates, LLC announce the filing of an Amended Complaint on behalf of retail investors in the Facebook Initial ...",Negative,Negative
143,"Nearly 50% of Market Participants Polled Say IPO Market Negatively Impacted for Next Six Months 
NEW YORK & LONDON--(BUSINESS WIRE)--June 21, 2012--",Negative,Negative
144,"DUBLIN--(BUSINESS WIRE)--June 26, 2012--  Research and Markets (http://www.researchandmarkets.com/research/m7326b/facebook_is_buildi) has announced the addition of the ""Facebook is building its pre-IPO mobile monetisation strategy around ...",Negative,Negative
145,NEW YORK â€” Facebook made a much-anticipated status update Wednesday: The Internet social network is going public eight years after its computer-hacking CEO Mark Zuckerberg started the service at Harvard University.,Negative,Negative
146,"SAN FRANCISCO â€” The graffiti artist who took Facebook stock instead of cash for painting the walls of the social network's first headquarters made a smart bet. The shares owned by the artist, David Choe, are expected to be worth upward ...",Negative,Negative
149,"NEW YORK â€” Facebook's initial public offering is getting less friendly with each passing day. Investors and regulators raised new concerns about the $16 billion IPO as Facebook shares fell a second straight day on Tuesday, extending losses ...",Negative,Negative
150,"SAN FRANCISCO â€” Ryan Cefalu, who lives with his wife and two kids in Baton Rouge, La., saw in Facebook's much-anticipated initial public offering a chance to buffer his retirement fund. His expectations fizzled along with the stock within ...",Negative,Negative
151,"SAN JOSE, Calif. â€” Facebook Inc. could be on the hook for $1 billion or more in damages if plaintiffs' lawyers can prove allegations that the company and its bankers misled investors in its initial public offering.",Negative,Negative
152,"Nasdaq officials are telling brokers they plan to submit the first step today in the exchange group's bid to compensate investors for the technical glitches that undermined Facebook Inc.'s initial public offering, according to people ...",Negative,Negative
153,"NEW YORK - Facebook founder Mark Zuckerberg turns up at business conventions in a hoodie. ""Cocky"" is the word used to describe him most often, after ""billionaire."" He was Time's person of the year at 26.",Negative,Negative
154,"NEW YORK - Responding to extraordinary demand, Facebook said Wednesday that it would sell more stock in the company's initial public offering. But ahead of the IPO, a debate emerged between two of the nation's largest automakers: Does it ...",Negative,Negative
155,"NEW YORK - Facebook's initial public offering of stock is shaping up to be one of the largest ever. The world's definitive online social network is raising at least $16 billion, a big windfall for a company that began eight years ago with ...",Negative,Negative
156,"NEW YORK - Facebook's stock has fallen below $30 for the first time since its much-awaited public debut this month. The stock fell $3.07, or 9.6 percent, to close at $28.84 on Tuesday. That's down 24 percent since its public stock debut. It ...",Negative,Negative
158,"In the beginning, there was pump and dump. In the dot-com bubble of the late '90s, the stock-analyzing arms of investment banks would pump up a new stock's price with rave reviews. The banker arm underwriting the new stock issue would sit ...",Negative,Negative
159,"Facebook made a much-anticipated status update Wednesday: The Internet social network is going public eight years after its computer-hacking CEO Mark Zuckerberg, 27, started the service at Harvard University.",Negative,Negative
160,"Facebook has set a price range of $28 to $35 for its initial public offering of stock. At the high end, this could raise as much as $11.8 billion. If the underwriters sell the extra stock reserved for overallotments, the IPO will value ...",Negative,Negative
161,"In the normally hushed corridors of investment banks and fund management firms, the hype over the next two weeks will be enough for a Super Bowl.",Negative,Negative
162,"NEW YORK â€” Facebook's stock is trading up 8 percent Friday, as investors seek to put a dollar value on the company that turned online social networking into a global cultural phenomenon.",Negative,Negative
163,"Excitement about Facebook's initial public offering gave U.S. stocks a small lift in morning trading on Friday. The Dow Jones industrial average rose 11 points to 12,453 in the first half-hour of trading. The Standard & Poor's 500 index ...",Negative,Negative
164,"Facebook investors who assumed getting in on an IPO was a get-rich-quick scheme just got a hard slap across the cheek. Amid the frenzy for shares, many investors forgot a key of investing in initial public offerings: They're risky. More than ...",Negative,Negative
165,"NEW YORK â€” Facebook's stock fell to $19 for the first time on Friday, losing half its market value since the company's initial public offering in May.",Negative,Negative
166,Now it's Facebook's turn to share. The social networking giant that coaxes 845 million people to divulge the most intimate details about their lives is one step closer to cashing in on its meteoric rise in what could be the largest ...,Negative,Negative
167,"A group of e-commerce startups, backed by some of the tech world's most pedigreed financiers, are betting that Facebook Inc. can become an e-commerce powerhouse to rival Amazon.com Inc. and eBay Inc.",Negative,Negative
168,"Facebook Inc. takes its show on the road next week to build support for an initial public offering it said could value the company at as much as $96 billion, eclipsing the first offerings of search giant Google Inc. and every Web company ...",Negative,Negative
169,"Nasdaq OMX Group Inc. is looking forward to a spike in the number of companies going public in the near term as they look to take advantage of the market buzz created by Facebook's listing next week, an executive said Thursday.",Negative,Negative
170,"Even people who don't play the market are thinking this week about buying stock in Facebook's initial public offering of shares. One hundred six years ago, Sears, Roebuck and Co. was its era's version of a hot tech company. Like Facebook, ...",Negative,Negative
171,Facebook may be your friend or where your friends hang out. But that doesn't mean the stock will be friendly to you if you rush to buy it within the next few days.,Negative,Negative
172,"Facebook Inc. boosted the price range on its initial public offering by about 14 percent, as investors' appetite for the No. 1 social network seemed to trump ongoing questions about its long-term potential to make money.",Negative,Negative
173,"Facebook CEO Mark Zuckerberg celebrated his 28th birthday Monday, just four days before the social networking site he co-founded in his Harvard dorm room eight years ago became the first U.S. company to go public with a valuation of more ...",Negative,Negative
174,"Facebook shares sank 11 percent Monday in the first day of trading without the full support of the company's underwriters, leaving some investors down almost 25 percent from where they were Friday and driving others to switch back to more ...",Negative,Negative
175,"Already grappling with regulatory reviews of its initial public offering, Facebook and the Wall Street banks that shepherded the deal are under fire from lawmakers and lawyers.",Negative,Negative
176,"And so we are reminded once more, IPO does not stand for instant payout. Those caught up in social media colossus Facebook's initial public offering are plenty angry. And there are lingering questions about the effect of Nasdaq technical ...",Negative,Negative
177,Facebook Inc.'s initial public offering has triggered charges that the social network and banks led by Morgan Stanley selectively disclosed crucial information to investors. Securities law experts say it's not clear the firms did anything ...,Negative,Negative
178,"15% Percentage increase in Nutella's sales, which Facebook attributes to the company's advertisements on the social media site $26.50 Price of shares at closing",Negative,Negative
180,"With all the hype, it wasn't easy for individual investors to get in on the Facebook Inc. IPO. But ex-Rookwood Pottery Co. CEO Chip DeMois was able to snag 400 shares.",Negative,Negative
