|Headline|Source|Date|Word Count|Company|Industry|IPO Period|Day of Week|Source Tier|PositiveScore|NegativeScore|Ticker|Close|High|Low|Open|Volume|Offer Date|Issuer|Offer Price|Open Price|1st Day Close|1st Day % Px Chng|$ Change Opening|$ Change Close|Mngr1|Mngr2|Mngr3|Mngr4|Mngr5|Mngr6|Offer Date +90|Date_y|Close +90|% Px Chng +90|Label
53|FACEBOOK IPO COULD SET MARK|Augusta Chronicle|2012-05-04|250|Facebook|Technology|1|6|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
54|FACEBOOK STOCK FALLS NEARLY $4 BELOW IPO|Augusta Chronicle|2012-05-22|376|Facebook|Technology|2|3|4|0.0|0.0|FB|31.0|33.59|30.94|32.59|102053826.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
55|IPO MARKET PICKING UP AFTER FACEBOOK FREEZE|Augusta Chronicle|2012-07-14|490|Facebook|Technology|2|7|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
56|Facebook files for $5B IPO|Austin Business Journal Online|2012-02-02|426|Facebook|Technology|1|5|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
57|Facebook IPO has halo effect for VCs|Austin Business Journal Online|2012-05-14|117|Facebook|Technology|1|2|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
58|Nasdaq 'embarrassed' over Facebook IPO issues|Austin Business Journal Online|2012-05-21|86|Facebook|Technology|2|2|4|0.0|0.0|FB|34.03|36.66|33.0|36.66|168309831.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
59|Nasdaq: Facebook IPO should have been delayed|Austin Business Journal Online|2012-05-23|200|Facebook|Technology|2|4|4|0.0|0.0|FB|32.0|32.5|31.36|31.38|73488656.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
60|Status Facebook amends IPO filing Facebook tags IPO range of $34 to $38 per share|Austin Business Journal Online|2012-05-15|129|Facebook|Technology|1|3|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
61|T. Rowe Price among principal stockholders in Facebook IPO|Baltimore Business Journal Online|2012-02-01|365|Facebook|Technology|1|4|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
62|SEC cracks down on firms trading pre-IPO Facebook shares|Baltimore Business Journal Online|2012-03-15|111|Facebook|Technology|1|5|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
63|Facebook IPO: T. Rowe Price shares worth up to $637M|Baltimore Business Journal Online|2012-05-09|342|Facebook|Technology|1|4|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
64|Facebook IPO set at $38 per share|Baltimore Business Journal Online|2012-05-18|117|Facebook|Technology|2|6|4|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
65|Day following historic IPO, Facebook's Zuckerberg weds|Baltimore Business Journal Online|2012-05-21|154|Facebook|Technology|2|2|4|0.0|0.0|FB|34.03|36.66|33.0|36.66|168309831.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
66|Nasdaq 'embarrassed' over Facebook IPO|Baltimore Business Journal Online|2012-05-21|67|Facebook|Technology|2|2|4|0.0|0.0|FB|34.03|36.66|33.0|36.66|168309831.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
67|Instead of big success, Facebook IPO is big embarrassment|Baltimore Business Journal Online|2012-05-23|86|Facebook|Technology|2|4|4|0.0|0.0|FB|32.0|32.5|31.36|31.38|73488656.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
68|Nasdaq to cover some of Facebook IPO losses|Baltimore Business Journal Online|2012-06-06|97|Facebook|Technology|2|4|4|0.0|0.0|FB|26.81|27.17|25.52|26.07|61487019.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
69|Facebook to place some blame on Nasdaq for botched IPO|Baltimore Business Journal Online|2012-06-15|109|Facebook|Technology|2|6|4|0.0|0.1|FB|30.014|30.1|28.35|28.5|43563739.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
70|Biggest IPO week since Facebook seeks to raise $1.1B|Baltimore Business Journal Online|2012-08-06|115|Facebook|Technology|2|2|4|0.0|0.0|FB|21.92|22.15|21.3|21.39|27778038.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
71|Facebook hits new low as IPO lockup period ends|Baltimore Business Journal Online|2012-08-17|106|Facebook|Technology|2|6|4|0.0|0.0|FB|19.05|20.08|19.0|20.0|129293342.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
